OSHPD_ID,FAC_NAME,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,County Name,HEALTH_SVC_AREA,LIC_CAT,LICEE_TOC,PARENT_NAME,TYPE_SVC_PRINCIPAL,TEACH_HOSP,HOSP_BED_LIC_TOTL,FAC_ADDRESS_1,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,CHEM_PSY_BED_LIC,PSY_PROG_SHDOYL,MED_SURG_BED_LIC,MED_SURG_DIS,MED_SURG_CENS_DAY,MED_SURG_LICBED_DAY,PERINATL_BED_LIC,PERINATL_DIS,PERINATL_CENS_DAY,PERINATL_LICBED_DAY,PED_BED_LIC,PED_DIS,PED_CENS_DAY,PED_LICBED_DAY,ICU_BED_LIC,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,ICU_LICBED_DAY,CCU_BED_LIC,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,CCU_LICBED_DAY,RESP_BED_LIC,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,RESP_LICBED_DAY,BURN_BED_LIC,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,BURN_LICBED_DAY,NICU_BED_LIC,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,NICU_LICBED_DAY,REHAB_BED_LIC,REHAB_DIS,REHAB_CENS_DAY,REHAB_LICBED_DAY,GAC_BED_LIC_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_DIS,CHEM_CENS_DAY,CHEM_LICBED_DAY,PSY_BED_LIC,PSY_DIS,PSY_CENS_DAY,PSY_LICBED_DAY,SN_BED_LIC,SN_DIS,SN_CENS_DAY,SN_LICBED_DAY,IC_BED_LIC,IC_DIS,IC_CENS_DAY,IC_LICBED_DAY,HOSP_BED_LIC_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,HOSP_LICBED_DAY_TOTL,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_GAC_BED_LIC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,PACEMKR_PERM_IMPL,PTCA_ANGIOPLASTY_WITH_STENT,PTCA_ANGIOPLASTY_WITHOUT_STENT,PTBV_BALLOON,THROMBO_AGT,CATH_OTHR,CATH_TOTL,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_<5LBS_8OZ,BIRTHS_LIVE_<3LBS_5OZ,ABC_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,births_all other,NEWBORN_NURSRY_CENS_DAY,SURG_IP,OR_MIN_IP,SURG_OP,OR_MIN_OP,AMB_SURG_PROG,OR_TOTL,OR_OP_ONLY,OR_IP_AND_OP,OR_IP_ONLY,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_non-GAC,EMS_GAC None,EMS_Standby,EMS_Basic,EMS_Comp,EMSA_Trauma Ctr,EMS_NONURGENT_CPT_99281_TOTL_VIS,EMS_NONURGENT_CPT_99281_ADM_VIS,EMS_URGENT_CPT_99282_TOTL_VIS,EMS_URGENT_CPT_99282_ADM_VIS,EMS_MODER_CPT_99283_TOTL_VIS,EMS_MODER_CPT_99283_ADM_VIS,EMS_SEVERE_CPT_99284_TOTL_VIS,EMS_SEVERE_CPT_99284_ADM_VIS,EMS_CRITICAL_CPT_99285_TOTL_VIS,EMS_CRITICAL_CPT_99285_ADM_VIS,EMS_VIS_TOTL,EMS_ADM_VIS_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_CLOSURE_AMB_DIVERS,EMS_CLOSED_JAN_HOURS,EMS_CLOSED_FEB_HOURS,EMS_CLOSED_MAR_HOURS,EMS_CLOSED_APR_HOURS,EMS_CLOSED_MAY_HOURS,EMS_CLOSED_JUN_HOURS,EMS_CLOSED_JUL_HOURS,EMS_CLOSED_AUG_HOURS,EMS_CLOSED_SEP_HOURS,EMS_CLOSED_OCT_HOURS,EMS_CLOSED_NOV_HOURS,EMS_CLOSED_DEC_HOURS,EMS_CLOSED_TOTL_HOURS,EMSA_TRAUMA_CTR_DESIG,Level I-Trauma,Level II-Trauma,Level III-Trauma,Level IV-Trauma,EMSA_TRAUMA_PEDS_CTR_DESIG,Level I - ped,Level II - ped,Level III - ped,Level IV - ped,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,Level I ems visits,Level II ems visits,Level III ems visits,Level IV ems visits,ED_OP_RM_AVAIL24HRS,ED_OP_RM_AVAIL_ON_CALL,Jan hours open per month,Feb hours open per month,March hours open per month,April hours open per month,May hours open per month,June hours open per month,July hours open per month,Aug hours open per month,Sept hours open per month,Oct hours open per month,Nov hours open per month,Dec hours open per month,MED_SVC_STUDY_AREA,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,MSSA_Name,MSSA_Designt_Type,Non-Responder,Not in Operation,State Hospital,Non Trauma Center,Non Trauma Ctr # of Visits,Bed Size Range,ATHERECTOMY_PTCRA_ABLATION
106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,1/1/04,12/31/04,Open,7/1/53,7/1/53,Alameda,05 - East Bay,General Acute Care,City and/or County,none,Long-Term Care (SN/IC),NO,159,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4599,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,361,7799,18300,50,361,7799,18300,0,0,0,0,0,0,0,0,109,89,37129,39894,0,0,0,0,159,450,44928,58194,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2f,71,143,9,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,No,No,No,1,0,150 - 199,0
106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1/1/04,12/31/04,Open,7/1/53,7/1/53,Alameda,05 - East Bay,General Acute Care,City and/or County,none,General Medical / Surgical,YES,316,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4599,0,0,0,0,0,0,0,Yes,191,7007,24647,69906,17,1505,3825,0,0,0,0,0,20,924,2202,10087,7320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,183,35,1224,2928,0,0,0,0,236,9619,39783,86376,0,0,0,0,80,3126,26132,29280,0,0,0,0,0,0,0,0,316,12745,65915,115656,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,63,8,0,0,0,0,314,1012,2631,2131,772043,1495,300990,Yes,7,0,7,0,Basic,Basic,0,0,0,1,0,1,10901,0,16715,0,17757,0,7218,0,10188,0,62779,0,52,0,11213,1,35,20,45,25,45,65,65,60,70,65,65,80,640,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62779,0,0,1,0,744,696,744,720,744,720,744,744,720,744,720,744,2c,69,142,9,Oakland West Central,Urban,No,No,No,0,0,300 - 499,0
106010735,ALAMEDA HOSPITAL,1/1/04,12/31/04,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,District,,General Medical / Surgical,NO,135,2070 CLINTON,ALAMEDA,94501,510-522-3700-4000,0,0,0,0,0,0,0,No,84,2862,11290,30744,0,0,0,0,0,0,0,0,8,147,321,1266,2928,8,0,0,0,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3009,12556,36600,0,0,0,0,0,0,0,0,35,82,9919,12810,0,0,0,0,135,3091,22475,49410,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,134638,2968,166231,Yes,8,0,8,0,Basic,Basic,0,0,0,1,0,0,324,0,3681,2,6164,8,4262,1063,2501,1558,16932,2631,12,0,64,1,1,5,10,4,24,0,35,0,0,45,27,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,744,696,744,720,744,720,744,744,720,744,720,744,2e,69,142,13,Alameda/Jack London Square/Oakland Inner Harbor,Urban,No,No,No,1,16932,100 - 149,0
106190017,ALHAMBRA HOSPITAL,1/1/04,12/31/04,Open,1/1/46,1/1/46,Los Angeles,11 - Los Angeles,General Acute Care,Investor - Partnership,"AHMC, INC.",General Medical / Surgical,NO,144,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,626-570-1606-4770,0,0,0,0,0,0,0,No,88,3704,22720,32208,0,0,0,0,0,0,0,0,6,129,412,1583,2196,7,111,479,2174,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,246,4323,6222,118,4190,30800,43188,0,0,0,0,0,0,0,0,26,10,9385,9516,0,0,0,0,144,4200,40185,52704,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,36633,1441,61219,Yes,5,0,5,0,Basic,Basic,0,0,0,1,0,0,1408,0,7827,1779,879,819,353,321,8,6,10475,2925,3,136,96,1,348,214,110,117,48,69,95,74,136,115,74,37,1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,744,696,744,720,744,720,744,744,720,744,720,744,78.2eeee,102,155,29,Alhambra/El Sereno South/San Gabriel Central,Urban,No,No,No,1,10475,100 - 149,0
106010844,ALTA BATES SUMMIT MED CTR - HERRICK CAMPUS,1/1/04,12/31/04,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,Psychiatric,NO,206,2001 DWIGHT WAY,BERKELEY,94704,510-869-6199,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,612,10915,15372,42,612,10915,15372,0,0,0,0,105,2993,24950,38430,59,33,18563,21594,0,0,0,0,206,3638,54428,75396,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2a,67,142,9,Berkeley South and West/Emeryville/Oakland Northwest,Urban,No,No,No,1,0,200 - 299,0
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/04,12/31/04,Open,1/2/46,1/2/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,354,2450 ASHBY STREET,BERKELEY,94705,510-869-6199,0,0,0,0,0,0,0,No,176,9334,44205,64332,87,8200,23191,0,0,0,0,0,16,246,765,3438,5856,14,242,724,2910,5124,0,0,0,0,0,6,0,0,0,2196,55,998,105,17580,20130,0,0,0,0,354,19020,91324,126276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,19020,91324,126276,0,0,0,CATH LAB,0,0,0,0,0,0,0,0,2,0,0,0,0,360,259,121,17,481,276,149,0,91,0,0,36,276,7576,737,172,1,1,0,5371,2200,5,12485,3713,481920,6820,485880,Yes,13,0,13,0,Basic,Basic,0,0,0,1,0,0,5412,57,12958,606,11372,1982,6967,2255,3393,1644,40102,6544,22,793,1782,1,11,9,8,16,19,4,0,1,0,7,4,17,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,744,696,744,720,744,720,744,744,720,744,720,744,2b,67,142,9,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,No,No,No,1,40102,300 - 499,0
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/04,12/31/04,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,342,350 HAWTHORNE AVENUE,OAKLAND,94609,510-869-6199,0,0,0,0,0,0,0,No,273,14583,65568,99918,25,2111,2255,0,0,0,0,0,24,268,1685,7639,8784,12,24,1091,1862,4392,0,0,0,0,0,0,0,0,0,0,8,272,68,1358,2928,0,0,0,0,342,17258,78682,125172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,17258,78682,125172,0,0,0,CV SURG,4,0,0,512,9958,512,9958,890,4,0,0,0,0,2378,3010,1232,39,3610,3049,402,0,1350,1,0,1295,3049,2093,135,10,1,1,0,1659,432,2,3824,4919,898500,1567,198960,Yes,12,0,12,0,Basic,Basic,0,0,0,1,0,0,8651,41,12328,986,15336,5640,2066,1154,690,417,39071,8238,31,8757,2029,1,64,43,29,30,14,32,9,9,6,42,8,8,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,744,696,744,720,744,720,744,744,720,744,720,744,2m,69,142,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,No,No,1,39071,300 - 499,1
106013626,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,1/1/04,12/31/04,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,192,3100 SUMMIT STREET,OAKLAND,94609,510-869-6199,0,0,0,0,0,0,0,No,104,300,456,38064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,300,456,38064,0,0,0,0,17,168,2781,6222,71,1120,12445,25986,0,0,0,0,192,1588,15682,70272,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5402,2515,181080,Yes,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2m,69,142,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,No,No,1,0,150 - 199,0
106370652,ALVARADO HOSPITAL MEDICAL CENTER,1/1/04,12/31/04,Open,8/11/72,8/11/72,San Diego,14 - San Diego/Imperial,General Acute Care,Investor - Corporation,Tenet Health Corporation,General Medical / Surgical,NO,231,6655 ALVARADO ROAD,SAN DIEGO,92120-5298,619-287-3270,0,0,0,0,0,0,0,No,198,7411,41022,72468,0,0,0,0,0,0,0,0,18,111,742,2187,6588,10,104,432,1981,3660,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1830,0,0,0,0,231,7626,45190,84546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,7626,45190,84546,0,0,0,CV SURG,1,0,0,132,14,132,14,147,2,0,0,0,0,340,94,340,94,680,188,177,170,18,0,0,78,443,0,0,0,0,0,0,0,0,0,0,2943,427680,1519,162600,No,8,0,8,0,Basic,Basic,0,0,0,1,0,0,1665,13,5004,49,4146,174,3595,670,8571,4540,22981,5446,12,0,336,1,170,152,194,140,99,30,5,11,2,1,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,744,696,744,720,744,720,744,744,720,744,720,744,161e,131,172,,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,No,No,No,1,22981,200 - 299,0
106374063,ALVARADO HOSPITAL MEDICAL CENTER/SDRI,1/1/04,12/31/04,Open,6/7/90,6/7/90,San Diego,14 - San Diego/Imperial,General Acute Care,Investor - Corporation,Tenet Health Corporation,Physical Rehabilitation,NO,80,6645 ALVARADO ROAD,SAN DIEGO,92120,619-287-3270,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,592,6782,18300,50,592,6782,18300,0,0,0,0,0,0,0,0,30,578,7364,10980,0,0,0,0,80,1170,14146,29280,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161e,131,172,,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,No,No,No,1,0,50 - 99,0
