OSHPD_ID,FAC_NAME,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,County Name,HEALTH_SVC_AREA,LIC_CAT,LICEE_TOC,PARENT_NAME,TYPE_SVC_PRINCIPAL,TEACH_HOSP,HOSP_BED_LIC_TOTL,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,CHEM_PSY_BED_LIC,PSY_PROG_SHDOYL,MED_SURG_BED_LIC,MED_SURG_DIS,MED_SURG_CENS_DAY,MED_SURG_LICBED_DAY,PERINATL_BED_LIC,PERINATL_DIS,PERINATL_CENS_DAY,PERINATL_LICBED_DAY,PED_BED_LIC,PED_DIS,PED_CENS_DAY,PED_LICBED_DAY,ICU_BED_LIC,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,ICU_LICBED_DAY,CCU_BED_LIC,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,CCU_LICBED_DAY,RESP_BED_LIC,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,RESP_LICBED_DAY,BURN_BED_LIC,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,BURN_LICBED_DAY,NICU_BED_LIC,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,NICU_LICBED_DAY,REHAB_BED_LIC,REHAB_DIS,REHAB_CENS_DAY,REHAB_LICBED_DAY,GAC_BED_LIC_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_DIS,CHEM_CENS_DAY,CHEM_LICBED_DAY,PSY_BED_LIC,PSY_DIS,PSY_CENS_DAY,PSY_LICBED_DAY,SN_BED_LIC,SN_DIS,SN_CENS_DAY,SN_LICBED_DAY,IC_BED_LIC,IC_DIS,IC_CENS_DAY,IC_LICBED_DAY,HOSP_BED_LIC_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,HOSP_LICBED_DAY_TOTL,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_GAC_BED_LIC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,PACEMKR_PERM_IMPL,PTCA_ANGIOPLASTY_WITH_STENT,PTCA_ANGIOPLASTY_WITHOUT_STENT,PTBV_BALLOON,THROMBO_AGT,CATH_OTHR,CATH_TOTL,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_<5LBS_8OZ,BIRTHS_LIVE_<3LBS_5OZ,ABC_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,births_all other,NEWBORN_NURSRY_CENS_DAY,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,AMB_SURG_PROG,OP_RM_TOTL,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_IP_ONLY,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_non-GAC,EMS_GAC None,EMS_Standby,EMS_Basic,EMS_Comp,EMSA_Trauma Ctr,EMS_MINOR_CPT_99281_TOTL_VIS,EMS_MINOR_CPT_99281_ADM_VIS,EMS_LOW/MODERATE_CPT_99282_TOTL_VIS,EMS_LOW/MODERATE_CPT_99282_ADM_VIS,EMS_MODERATE_CPT_99283_TOTL_VIS,EMS_MODERATE_CPT_99283_ADM_VIS,EMS_SEVERE_W/O_THREAT_CPT_99284_TOTL_VIS,EMS_SEVERE_W/O_THREAT_CPT_99284_ADM_VIS,EMS_SEVERE_W_THREAT_CPT_99285_TOTL_VIS,EMS_SEVERE_W_THREAT_CPT_99285_ADM_VIS,EMS_VIS_TOTL,EMS_ADM_VIS_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_CLOSURE_AMB_DIVERS,EMS_CLOSED_JAN_HOURS,EMS_CLOSED_FEB_HOURS,EMS_CLOSED_MAR_HOURS,EMS_CLOSED_APR_HOURS,EMS_CLOSED_MAY_HOURS,EMS_CLOSED_JUN_HOURS,EMS_CLOSED_JUL_HOURS,EMS_CLOSED_AUG_HOURS,EMS_CLOSED_SEP_HOURS,EMS_CLOSED_OCT_HOURS,EMS_CLOSED_NOV_HOURS,EMS_CLOSED_DEC_HOURS,EMS_CLOSED_TOTL_HOURS,EMSA_TRAUMA_CTR_DESIG,Level I-Trauma,Level II-Trauma,Level III-Trauma,Level IV-Trauma,EMSA_TRAUMA_PEDS_CTR_DESIG,Level I - ped,Level II - ped,Level III - ped,Level IV - ped,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,Level I ems visits,Level II ems visits,Level III ems visits,Level IV ems visits,ED_OP_RM_AVAIL24HRS,ED_OP_RM_AVAIL_ON_CALL,Jan hours open per month,Feb hours open per month,March hours open per month,April hours open per month,May hours open per month,June hours open per month,July hours open per month,Aug hours open per month,Sept hours open per month,Oct hours open per month,Nov hours open per month,Dec hours open per month,MED_SVC_STUDY_AREA,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,MSSA English Name,MSSA Designt. Type,Non-Responder,Not in Operation,State Hospital,Non Trauma Center,Non Trauma Ctr # of Visits,Bed Size Range,ATHERECTOMY_PTCRA_ABLATION
106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,1/1/05,12/31/05,Open,7/1/53,7/1/53,Alameda,05 - East Bay,General Acute Care,City and/or County,None,Long-Term Care (SN/IC),NO,159,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4599,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,328,8157,18250,50,328,8157,18250,0,0,0,0,0,0,0,0,109,89,36936,39785,0,0,0,0,159,417,45093,58035,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,2f,18,10,9,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,No,No,No,1,0,150 - 199,0
106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1/1/05,12/31/05,Open,7/1/53,7/1/53,Alameda,05 - East Bay,General Acute Care,City and/or County,none,General Medical / Surgical,YES,316,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4599,0,0,0,0,0,0,0,No,191,8298,31223,69715,17,1801,4580,6205,0,0,0,0,20,257,1150,5218,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,230,43,1161,2920,0,0,0,0,236,10586,42182,86140,0,0,0,0,80,3137,23972,29200,0,0,0,0,0,0,0,0,316,13723,66154,115340,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598,70,10,No,0,0,0,370,1228,3117,2193,898306,1667,296953,Yes,7,0,7,0,Basic,Basic,0,0,0,1,0,1,11000,0,17000,0,18000,0,7500,0,10828,0,64328,0,52,0,13886,1,50,50,50,50,50,50,50,50,50,50,50,50,600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64328,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744,2c,16,9,9,Oakland West Central,Urban,No,No,No,0,0,300 - 499,0
106010735,ALAMEDA HOSPITAL,1/1/05,12/31/05,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,District,,General Medical / Surgical,NO,135,2070 CLINTON,ALAMEDA,94501,510-522-3700-4000,0,0,0,0,0,0,0,No,84,2835,11297,30660,0,0,0,0,0,0,0,0,8,170,326,1369,2920,8,0,0,0,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6205,100,3005,12666,36500,0,0,0,0,0,0,0,0,35,129,9673,12775,0,0,0,0,135,3134,22339,49275,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,No,0,0,0,0,2,0,980,125613,3845,272624,Yes,6,1,5,0,Basic,Basic,0,0,0,1,0,0,340,0,3884,3,6402,14,3595,1499,1219,872,15440,2388,12,0,117,1,13,4,2,5,10,0,3,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,YES,744,672,744,720,744,720,744,744,720,744,720,744,2e,16,9,13,Alameda/Jack London Square/Oakland Inner Harbor,Urban,No,No,No,1,15440,100 - 149,0
106190017,ALHAMBRA HOSPITAL,1/1/05,12/31/05,Open,1/1/46,1/1/46,Los Angeles,11 - Los Angeles,General Acute Care,Investor - Partnership,"AHMC, INC.",General Medical / Surgical,NO,144,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,626-570-1606,0,0,0,0,0,0,0,No,88,3890,21856,32120,0,0,0,0,0,0,0,0,6,110,415,1502,2190,7,164,493,1999,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,235,3885,15330,118,4399,29242,43070,0,0,0,0,0,0,0,0,26,13,9219,9490,0,0,0,0,144,4412,38461,52560,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,690,41827,1550,59311,Yes,5,0,5,0,Basic,Basic,0,0,0,1,0,0,1967,0,8198,2348,698,520,86,64,27,19,10976,2951,3,152,226,1,199,189,172,126,138,94,126,89,108,108,120,510,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,YES,744,672,744,720,744,720,744,744,720,744,720,744,78.2eeee,49,22,29,Alhambra/El Sereno South/San Gabriel Central,Urban,No,No,No,1,10976,100 - 149,0
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/05,12/31/05,Open,1/2/46,1/2/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,353,2450 ASHBY STREET,BERKELEY,94705,510-869-6199,0,0,0,0,0,0,0,No,146,8826,43347,55450,116,8076,24609,40252,0,0,0,0,16,486,1394,6923,5840,14,0,0,0,5110,0,0,0,0,0,6,0,0,0,2190,55,967,95,17385,20075,0,0,0,0,353,18355,92264,128917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,18355,92264,128917,0,0,0,CATH LAB,0,0,0,0,0,0,0,0,2,0,0,0,0,204,194,40,43,244,237,90,68,87,0,1,58,304,7540,718,164,Yes,1,0,5359,2176,5,14685,3141,393780,6343,442620,Yes,13,0,13,0,Basic,Basic,0,0,0,1,0,0,3910,24,14411,427,11781,1551,7138,2595,3050,1789,40290,6386,22,5708,2326,1,8,0,0,17,0,2,13,0,0,2,3,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744,2b,14,9,9,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,No,No,No,1,40290,300 - 499,0
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,1/1/05,12/31/05,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,Psychiatric,NO,206,2001 DWIGHT WAY,BERKELEY,94704,510-869-6199,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,625,10310,0,42,625,10310,15330,0,0,0,0,105,3313,27690,38325,59,37,17331,21535,0,0,0,0,206,3975,55331,75190,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,2a,14,9,9,Berkeley South and West/Emeryville/Oakland Northwest,Urban,No,No,No,1,0,200 - 299,0
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/05,12/31/05,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,337,350 HAWTHORNE AVENUE,OAKLAND,94609,510-869-6199,0,0,0,0,0,0,0,No,301,13970,63903,109865,0,0,0,0,0,0,0,0,24,299,1824,7560,8760,12,22,1011,1714,4380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,14291,73177,123005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,14291,73177,123005,0,0,0,CV SURG,4,0,0,478,4809,478,4809,793,4,0,0,0,0,2115,1602,1030,75,3145,1677,260,1217,1274,8,0,133,2895,2,0,0,No,0,0,0,1,1,0,3904,738740,2184,207323,Yes,12,0,12,0,Basic,Basic,0,0,0,1,0,0,9670,68,12440,870,15978,5640,1913,1004,752,438,40753,8020,36,9670,2114,1,24,13,5,2,8,4,6,0,2,21,8,12,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744,2m,16,9,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,No,No,1,40753,300 - 499,3
106013626,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,1/1/05,12/31/05,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,192,3100 SUMMIT STREET,OAKLAND,94609,510-869-6199,0,0,0,0,0,0,0,No,104,171,280,37960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,171,280,37960,0,0,0,0,17,152,2251,6205,71,1067,12607,25915,0,0,0,0,192,1390,15138,70080,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,171,16060,2282,197677,Yes,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,2m,16,9,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,No,No,1,0,150 - 199,0
106370652,ALVARADO HOSPITAL MEDICAL CENTER,1/1/05,12/31/05,Open,8/11/72,8/11/72,San Diego,14 - San Diego/Imperial,General Acute Care,Investor - Corporation,Tenet Health Corporation,General Medical / Surgical,NO,226,6655 ALVARADO ROAD,SAN DIEGO,92120-5298,619-287-3270,1,1,0,0,0,0,0,Yes,198,6586,36187,72270,0,0,0,0,0,0,0,0,18,423,1170,4374,6570,10,333,418,1924,3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,0,0,0,0,226,7342,42485,83635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,7342,42485,83635,0,0,0,CV SURG,1,0,0,108,16,108,16,88,2,0,0,0,0,240,186,227,38,467,224,176,187,10,0,0,16,389,1,1,0,No,0,0,0,0,1,0,2726,457380,3882,414240,Yes,12,4,8,0,Basic,Basic,0,0,0,1,0,0,2346,21,5639,40,4409,136,2979,403,6629,3445,22002,4045,12,0,760,1,11,1,16,3,7,12,40,10,7,9,20,237,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,YES,744,672,744,720,744,720,744,744,720,744,720,744,161e,78,39,53,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,No,No,No,1,22002,200 - 299,0
106374063,ALVARADO HOSPITAL MEDICAL CENTER/SDRI,1/1/05,12/31/05,Open,6/7/90,6/7/90,San Diego,14 - San Diego/Imperial,General Acute Care,Investor - Corporation,Tenet Health Corporation,Long-Term Care (SN/IC),NO,80,6645 ALVARADO ROAD,SAN DIEGO,92120,619-287-3270,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,136,1621,0,50,136,1621,18250,0,0,0,0,0,0,0,0,30,183,2063,10950,0,0,0,0,80,319,3684,29200,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,161e,78,39,53,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,No,No,No,1,0,50 - 99,0
