OSHPD_ID,FAC_NAME,BEG_DATE,END_DATE,LIC_STATUS,LIC_ORIG_DATE,LIC_ORIG_DATE,COUNTY,HEALTH_SVC_AREA,LIC_CAT,LICEE_TOC,PARENT_NAME,TYPE_SVC_PRINCIPAL,TEACH_HOSP,HOSP_BED_LIC_TOTL,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,CHEM_PSY_BED_LIC,PSY_PROG_SHDOYL,MED_SURG_BED_LIC,MED_SURG_DIS,MED_SURG_CENS_DAY,MED_SURG_LICBED_DAY,PERINATL_BED_LIC,PERINATL_DIS,PERINATL_CENS_DAY,PERINATL_LICBED_DAY,PED_BED_LIC,PED_DIS,PED_CENS_DAY,PED_LICBED_DAY,ICU_BED_LIC,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,ICU_LICBED_DAY,CCU_BED_LIC,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,CCU_LICBED_DAY,RESP_BED_LIC,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,RESP_LICBED_DAY,BURN_BED_LIC,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,BURN_LICBED_DAY,NICU_BED_LIC,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,NICU_LICBED_DAY,REHAB_BED_LIC,REHAB_DIS,REHAB_CENS_DAY,REHAB_LICBED_DAY,GAC_BED_LIC_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_DIS,CHEM_CENS_DAY,CHEM_LICBED_DAY,PSY_BED_LIC,PSY_DIS,PSY_CENS_DAY,PSY_LICBED_DAY,SN_BED_LIC,SN_DIS,SN_CENS_DAY,SN_LICBED_DAY,IC_BED_LIC,IC_DIS,IC_CENS_DAY,IC_LICBED_DAY,HOSP_BED_LIC_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,HOSP_LICBED_DAY_TOTL,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_GAC_BED_LIC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,PACEMKR_PERM_IMPL,PTCA_ANGIOPLASTY_WITH_STENT,PTCA_ANGIOPLASTY_WITHOUT_STENT,PTBV_BALLOON,THROMBO_AGT,CATH_OTHR,CATH_TOTL,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_<5LBS_8OZ,BIRTHS_LIVE_<3LBS_5OZ,ABC_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,births_all other,NEWBORN_NURSRY_CENS_DAY,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,AMB_SURG_PROG,OP_RM_TOTL,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_IP_ONLY,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_non-GAC,EMS_GAC None,EMS_Standby,EMS_Basic,EMS_Comp,EMSA_Trauma Ctr,EMS_MINOR_CPT_99281_TOTL_VIS,EMS_MINOR_CPT_99281_ADM_VIS,EMS_LOW/MODERATE_CPT_99282_TOTL_VIS,EMS_LOW/MODERATE_CPT_99282_ADM_VIS,EMS_MODERATE_CPT_99283_TOTL_VIS,EMS_MODERATE_CPT_99283_ADM_VIS,EMS_SEVERE_W/O_THREAT_CPT_99284_TOTL_VIS,EMS_SEVERE_W/O_THREAT_CPT_99284_ADM_VIS,EMS_SEVERE_W_THREAT_CPT_99285_TOTL_VIS,EMS_SEVERE_W_THREAT_CPT_99285_ADM_VIS,EMS_VIS_TOTL,EMS_ADM_VIS_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_CLOSURE_AMB_DIVERS,EMS_CLOSED_JAN_HOURS,EMS_CLOSED_FEB_HOURS,EMS_CLOSED_MAR_HOURS,EMS_CLOSED_APR_HOURS,EMS_CLOSED_MAY_HOURS,EMS_CLOSED_JUN_HOURS,EMS_CLOSED_JUL_HOURS,EMS_CLOSED_AUG_HOURS,EMS_CLOSED_SEP_HOURS,EMS_CLOSED_OCT_HOURS,EMS_CLOSED_NOV_HOURS,EMS_CLOSED_DEC_HOURS,EMS_CLOSED_TOTL_HOURS,EMSA_TRAUMA_CTR_DESIG,Level I-Trauma,Level II-Trauma,Level III-Trauma,Level IV-Trauma,EMSA_TRAUMA_PEDS_CTR_DESIG,Level I - ped,Level II - ped,Level III - ped,Level IV - ped,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,Level I ems visits,Level II ems visits,Level III ems visits,Level IV ems visits,ED_OP_RM_AVAIL24HRS,ED_OP_RM_AVAIL_ON_CALL,Jan hours open per month,Feb hours open per month,March hours open per month,April hours open per month,May hours open per month,June hours open per month,July hours open per month,Aug hours open per month,Sept hours open per month,Oct hours open per month,Nov hours open per month,Dec hours open per month,MED_SVC_STUDY_AREA,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,MSSA English Name,MSSA Designt. Type,Non-Responder,FAC_OPER_CURRYR,State Hospital,Non Trauma Center,Non Trauma Ctr # of Visits,Bed Size Range,ATHERECTOMY_PTCRA_ABLATION
106431013,AGNEWS STATE HOSPITAL,1/1/07,12/31/07,Open,8/29/75,8/29/75, Santa Clara, 07 - Santa Clara,General Acute Care,State,Department of Developmental Services,Developmentally Disabled,NO,919,3500 ZANKER ROAD,SAN JOSE, 95134-2299,408-451-6000,No,,,,0,0,0,No,16,1,5,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,5,5840,0,0,0,0,0,0,0,0,362,16,3006,132130,0,0,0,0,919,45,8011,335435,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,541,197465,28,5000,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0, 183o,22,10,16,#N/A,#N/A,No,Yes,Yes,1,0,500+,0
106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,1/1/07,12/31/07,Open,7/1/53,7/1/53, Alameda, 05 - East Bay,General Acute Care,City and/or County,None,Long-Term Care (SN/IC),NO,159,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4800,No,,,,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,377,9253,18250,50,377,9253,18250,0,0,0,0,0,0,0,0,109,89,37145,39785,0,0,0,0,159,466,46398,58035,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0, 2f,18,10,9,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,No,Yes,No,1,0,150 - 199,0
106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1/1/07,12/31/07,Open,7/1/53,7/1/53, Alameda, 05 - East Bay,General Acute Care,City and/or County,None,General Medical / Surgical,YES,316,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4800,No,,,,0,0,0,No,191,8058,34817,69715,17,1646,4047,6205,0,0,0,0,20,299,1150,5715,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,283,59,1309,2920,0,0,0,0,236,10286,45888,86140,0,0,0,0,80,2697,23872,29200,0,0,0,0,0,0,0,0,316,12983,69760,115340,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,87,10,No,,,0,311,1165,2616,2485,752438,1792,324343,Yes,7,0,7,0,Basic,Basic,0,0,0,1,0,1,4923,18,22296,162,28440,289,6968,49,10557,6755,73184,7273,52,0,8415,1,11,4,2,27,24,12,10,18,10,12,48,22,200,1,,1,,,0,0,0,0,0,0,0,0,0,0,73184,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744, 2c,16,9,9,Oakland West Central,Urban,No,Yes,No,0,0,300 - 499,0
106010735,ALAMEDA HOSPITAL,1/1/07,12/31/07,Open,1/1/46,1/1/46, Alameda, 05 - East Bay,General Acute Care,District,,General Medical / Surgical,NO,135,2070 CLINTON,ALAMEDA,94501,510-522-3700,No,,,,0,0,0,No,84,2540,10414,30660,0,0,0,0,0,0,0,0,8,149,281,1302,2920,8,0,0,0,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2689,11716,36500,0,0,0,0,0,0,0,0,35,0,0,12775,0,0,0,0,135,2689,11716,49275,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,0,0,0,0,327,36795,1906,137357,Yes,6,0,6,0,Basic,Basic,0,0,0,1,0,0,287,0,2771,0,6493,17,4467,268,3259,1791,17277,2076,12,0,21,1,4,0,0,0,2,0,16,14,0,0,0,57,93,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,YES,744,672,744,720,744,720,744,744,720,744,720,744, 2e,16,9,13,Alameda/Jack London Square/Oakland Inner Harbor,Urban,No,Yes,No,1,17277,100 - 149,0
106190017,ALHAMBRA HOSPITAL,1/1/07,12/31/07,Open,1/1/46,1/1/46, Los Angeles, 11 - Los Angeles,General Acute Care,Investor - Partnership,"AHMC, INC.",General Medical / Surgical,NO,144,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,626-458-4781,No,,,,0,0,0,No,88,3767,18260,32120,0,0,0,0,0,0,0,0,6,116,413,1404,2190,7,135,487,1638,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,204,3483,6205,118,4222,24785,43070,0,0,0,0,0,0,0,0,26,17,9250,9490,0,0,0,0,144,4239,34035,52560,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,0,0,0,0,632,34957,1660,61922,Yes,5,0,5,0,Basic,Basic,0,0,0,1,0,0,2309,0,2145,57,5230,2691,267,219,13,9,9964,2976,3,158,252,1,139,148,119,80,87,30,47,55,57,53,106,83,1004,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744, 78.2eeee,49,22,29,Alhambra/El Sereno South/San Gabriel Central,Urban,No,Yes,No,1,9964,100 - 149,0
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/07,12/31/07,Open,1/2/46,1/2/46, Alameda, 05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,347,2450 ASHBY STREET,BERKELEY,94705,510-204-6199,No,,,,0,0,0,No,146,8816,42166,53290,116,8875,26793,42340,0,0,0,0,16,400,1291,6214,5840,14,0,0,0,5110,0,0,0,0,0,0,0,0,0,0,55,1022,121,17612,20075,0,0,0,0,347,19113,92785,126655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,19113,92785,126655,0,0,0,CATH LAB,0,0,0,0,0,0,0,0,2,0,0,0,0,114,45,42,1,156,46,90,7,11,0,0,0,108,8169,740,171,Yes,YES,,5984,2137,48,16589,3561,437520,4876,317820,Yes,13,0,13,0,Basic,Basic,0,0,0,1,0,0,3197,10,19229,329,13549,2268,5706,2760,1894,1303,43575,6670,22,3046,1430,1,3,4,13,2,0,2,5,0,0,0,14,6,49,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744, 2b,14,9,9,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,No,Yes,No,1,43575,300 - 499,0
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,1/1/07,12/31/07,Open,1/1/46,1/1/46, Alameda, 05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,Psychiatric,NO,180,2001 DWIGHT WAY,BERKELEY,94704,510-869-6199,No,,,,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,645,10850,15330,42,645,10850,15330,0,0,0,0,105,3146,23432,38325,33,9,12101,19949,0,0,0,0,180,3800,46383,73604,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0, 2a,14,9,9,Berkeley South and West/Emeryville/Oakland Northwest,Urban,No,Yes,No,1,0,150 - 199,0
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/07,12/31/07,Open,1/1/46,1/1/46, Alameda, 05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,337,350 HAWTHORNE AVENUE,OAKLAND,94609,510-869-6199,No,,,,0,0,0,No,301,13820,67332,109865,0,0,0,0,0,0,0,0,24,277,1568,9523,8760,12,14,1013,2016,4380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,14111,78871,123005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,14111,78871,123005,0,0,0,CV SURG,4,0,0,644,360,644,360,699,5,0,0,0,0,959,1854,1323,1324,2282,3178,201,1215,94,7,0,352,1878,0,0,0,No,,,0,0,0,0,4359,755330,1965,149952,Yes,12,0,12,0,Basic,Basic,0,0,0,1,0,0,3542,28,15116,687,14142,4226,4995,2420,919,596,38714,7957,31,3431,2053,1,3,13,34,43,4,0,2,2,13,2,1,2,119,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744, 2m,16,9,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,Yes,No,1,38714,300 - 499,9
106013626,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,1/1/07,12/31/07,Open,1/1/46,1/1/46, Alameda, 05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,172,3100 SUMMIT STREET,OAKLAND,94609,510-869-6199,No,,,,0,0,0,No,101,132,155,35165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,132,155,35165,0,0,0,0,0,0,0,1700,71,833,10008,25915,0,0,0,0,172,965,10163,62780,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,0,0,0,0,75,6750,2046,224982,Yes,7,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0, 2m,16,9,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,Yes,No,1,0,150 - 199,0
106370652,ALVARADO HOSPITAL,1/1/07,12/31/07,Open,8/11/72,8/11/72, San Diego, 14 - San Diego/Imperial,General Acute Care,Investor - Corporation,"Plymouth Health, LLC",General Medical / Surgical,NO,226,6655 ALVARADO ROAD,SAN DIEGO, 92120-5298,619-287-3270,No,,,,0,0,0,No,198,6344,33936,72270,0,0,0,0,0,0,0,0,18,769,1562,3979,6570,10,529,953,3570,3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,7642,41485,82490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,7642,41485,82490,0,0,0,CV SURG,1,0,0,76,17,76,17,93,2,0,0,0,0,551,239,116,1,667,240,102,228,60,5,19,20,454,0,0,0,No,,,0,0,0,0,2334,331860,3335,367740,Yes,12,4,8,0,Basic,Basic,0,0,0,1,0,0,2388,15,9436,331,5775,1649,1911,875,2895,2224,22405,5094,12,0,1107,1,10,8,20,17,14,14,24,17,16,3,16,20,179,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,YES,744,672,744,720,744,720,744,744,720,744,720,744, 161e,78,39,53,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,No,Yes,No,1,22405,200 - 299,20
