OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_OPER_CURRYR,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,FACILITY_LEVEL,LIC_CAT,LICEE_TOC,TYPE_SVC_PRINCIPAL,MED_SURG_BED_LIC,MED_SURG_LICBED_DAY,MED_SURG_DIS,MED_SURG_CENS_DAY,PERINATL_BED_LIC,PERINATL_LICBED_DAY,PERINATL_DIS,PERINATL_CENS_DAY,PED_BED_LIC,PED_LICBED_DAY,PED_DIS,PED_CENS_DAY,ICU_BED_LIC,ICU_LICBED_DAY,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,CCU_BED_LIC,CCU_LICBED_DAY,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,RESP_BED_LIC,RESP_LICBED_DAY,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,BURN_BED_LIC,BURN_LICBED_DAY,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,NICU_BED_LIC,NICU_LICBED_DAY,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,REHAB_BED_LIC,REHAB_LICBED_DAY,REHAB_DIS,REHAB_CENS_DAY,GAC_BED_LIC_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_LICBED_DAY,CHEM_DIS,CHEM_CENS_DAY,PSY_BED_LIC,PSY_LICBED_DAY,PSY_DIS,PSY_CENS_DAY,SN_BED_LIC,SN_LICBED_DAY,SN_DIS,SN_TFR_INHOSP,SN_CENS_DAY,IC_BED_LIC,IC_LICBED_DAY,IC_DIS,IC_CENS_DAY,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,HOSP_BED_LIC_TOTL,HOSP_LICBED_DAY_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,CHEM_GAC_BED_LIC,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_PSY_BED_LIC,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,NEWBORN_NURSRY_CENS_DAY,BED_SWING_SN,PSY_LCK_CENS_PATIENT,PSY_OPN_CENS_PATIENT,PSY_CENS_PATIENT_TOTL,PSY_CENS_PATIENT_LE17,PSY_CENS_PATIENT_18_64,PSY_CENS_PATIENT_GE65,PSY_CENS_PATIENT_TOTL_1,PSY_CENS_PATIENT_MCAR,PSY_CENS_PATIENT_MNG_MCAR,PSY_CENS_PATIENT_MCAL,PSY_CENS_PATIENT_MNG_MCAL,PSY_CENS_PATIENT_CO_INDIG,PSY_CENS_PATIENT_OTHR_THIRDPTY,PSY_CENS_PATIENT_MNG_OTHR_THIRDP,PSY_CENS_PATIENT_SHDOYL,PSY_CENS_PATIENT_OTHR_INDIG,PSY_CENS_PATIENT_OTHR_PAYER,PSY_CENS_PATIENT_TOTL_2,PSY_PROG_SHDOYL,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_MINOR_NO_ADM_VIS,EMS_MINOR_ADM_VIS,EMS_LOWMODERATE_NO_ADM_VIS,EMS_LOWMODERATE_ADM_VIS,EMS_MODERATE_NO_ADM_VIS,EMS_MODERATE_ADM_VIS,EMS_SEVERE_WO_THREAT_NO_ADM_VIS,EMS_SEVERE_WO_THREAT_ADM_VIS,EMS_SEVERE_W_THREAT_NO_ADM_VIS,EMS_SEVERE_W_THREAT_ADM_VIS,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS,LONGITUDE,LATITUDE,resp_stat,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,OP_RM_IP_ONLY,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_TOTL,AMB_SURG_PROG,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_LT5LBS_8OZ,BIRTHS_LIVE_LT3LBS_5OZ,ABC_OP_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,PACEMKR_PERM_IMPL,PTCA_ANGIOPLASTY_WITH_STENT,PTCA_ANGIOPLASTY_WITHOUT_STENT,ATHERECTOMY_PTCRA_ABLATION,THROMBO_AGT,PTBV_BALLOON,CATH_OTHR,CATH_TOTL,EQUIP_ACQ_OVER_500K,Include_State_hospital,bed_size_range,TYPE_CNTRL_R1,EMS_Basic,EMS_Standby,EMS_Comp,EMS_GAC_None,EMS_non_GAC,EMSA_ADULT,Level_I_Trauma,Level_II_Trauma,Level_III_Trauma,Level_IV_Trauma,EMSA_PED,Level_I_ped,Level_II_ped,Level_III_ped,Level_IV_ped,EMSA_Trauma,non_emsa,level_I_visit,level_II_visit,level_III_visit,level_IV_visit,non_emsa_visit,MINOR_TOT,LOWM_TOT,MOD_TOT,SEV_WO_TOT,SEV_WT_TOT,unknown_sev,MSSA_DESIGNATION,MSSA_NAME,F4
106010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,510-522-3700,Yes,01/01/2008,12/31/2008,Open,01/01/1946,01/01/1946,,NO,16,9,13,6067005002, 2e,, 05 - East Bay, Alameda,140000002,Parent Facility,General Acute Care,District,General Medical / Surgical,84,30744,2910,10238,0,0,0,0,0,0,0,0,8,2928,160,397,1365,8,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,36600,3070,11603,0,0,0,0,0,0,0,0,61,22326,104,0,14607,0,0,0,0,0,0,0,0,161,58926,3174,26210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,121,0,2530,3,7059,8,3983,241,1301,1786,14994,2038,17032,12,0,162,Yes,0,0,0,0,0,2,7,3,0,0,0,0,12,-122.25362,37.762953,Respondent,715,78489,4966,334091,0,1,5,6,Yes,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,17032,121,2533,7067,4224,3087,,Urban,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,510-204-6199,Yes,01/01/2008,12/31/2008,Open,01/02/1946,01/02/1946,,NO,14,9,9,6001423902, 2b,, 05 - East Bay, Alameda,140000004,Parent Facility,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,146,53436,8566,44109,116,42456,8445,26306,0,0,0,0,16,5856,496,1346,7259,14,5124,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20130,1022,122,17981,0,0,0,0,347,127002,18529,95655,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,347,127002,18529,95655,0,0,0,0,0,0,80,6830,15610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,2504,2,21626,728,9907,2589,1762,2194,279,754,36078,6267,42345,22,2279,1838,Yes,3,6,0,2,2,0,6,3,3,2,14,2,43,-122.25784,37.85633,Respondent,3475,425340,4514,315360,0,0,13,13,Yes,7748,721,180,Yes,YES,,5559,2183,CATH LAB,0,0,0,0,0,0,0,0,2,0,0,0,0,198,241,39,71,237,312,180,87,14,0,0,0,31,312,Yes,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,42345,2506,22354,12496,3956,1033,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,510-428-3000,Yes,01/01/2008,12/31/2008,Open,01/01/1946,01/01/1946,Level I - Pediatric,NO,16,9,9,6001401000, 2c,, 05 - East Bay, Alameda,140000015,Parent Facility,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,0,0,0,0,0,0,0,0,111,40626,3536,35563,23,8418,591,1901,6461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16104,1030,429,11566,12,4392,436,2912,190,69540,5593,56502,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,190,69540,5593,56502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,19295,0,2479,0,21062,0,0,6491,0,1067,42836,7558,50394,37,19295,526,Yes,0,0,0,2,4,0,0,0,2,0,3,1,12,-122.26747,37.83722,Respondent,3673,439458,5321,317105,0,4,5,9,Yes,0,0,0,,,,0,0,CV SURG,5,109,70,0,0,109,70,6,5,113,86,0,0,0,0,0,0,113,86,0,0,0,0,0,0,86,86,Yes,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,50394,,,,,19295,2479,21062,6491,1067,,Urban,OAKLAND WEST CENTRAL,
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,390 FORTIETH STREET,OAKLAND,94609,510-653-5040,Yes,01/01/2008,12/31/2008,Open,12/18/1960,12/18/1960,,NO,14,9,9,6001401200, 2b,, 05 - East Bay, Alameda,140000272,Parent Facility,Chemical Dependency Recovery Hospital,Non-Profit Corporation (incl. Church-related),Chemical Dependency (Alcohol/Drug),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18300,112,8937,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,50,18300,112,8937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.26021,37.82862,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,50 - 99,Non-Profit Corporation (i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,
106010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,510-727-2700-2209,Yes,01/01/2008,12/31/2008,Open,11/08/1954,11/08/1954,Level II,NO,18,10,9,6001430900, 2f,, 05 - East Bay, Alameda,140000030,Parent Facility,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,111,40626,7509,29205,11,4026,1012,2418,2,732,0,0,17,6222,214,513,2689,11,4026,252,381,2231,0,0,0,0,0,0,0,0,0,0,3,1098,155,0,453,0,0,0,0,155,56730,9142,36996,0,0,0,0,23,8418,438,3113,0,17080,19,,269,0,0,0,0,0,0,0,0,178,82228,9599,40378,0,0,0,0,0,0,11,1167,2871,0,14,0,14,0,14,0,14,1,0,9,0,0,0,4,0,0,0,14,,,,,,Basic,Basic,5236,0,10915,0,2284,1520,3984,2652,1938,1290,24357,5462,29819,16,5236,851,,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.08753,37.69871,Respondent,2158,273397,1230,122155,6,1,0,7,Yes,1155,37,3,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,,29819,,,,5236,10915,3804,6636,3228,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,
106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4800,Yes,01/01/2008,12/31/2008,Open,07/01/1953,07/01/1953,,NO,18,10,9,6001430500, 2f,, 05 - East Bay, Alameda,140000046,Consolidated Facility,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18300,446,9931,50,18300,446,9931,0,0,0,0,0,0,0,0,109,39894,118,,38213,0,0,0,0,0,0,0,0,159,58194,564,48144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.12057,37.70789,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,City and/or County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,510-869-6199,Yes,01/01/2008,12/31/2008,Open,01/01/1946,01/01/1946,,NO,14,9,9,6001422900, 2a,, 05 - East Bay, Alameda,140000004,Consolidated Facility,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15372,664,11687,42,15372,664,11687,0,0,0,0,105,38430,2755,21796,33,12078,13,,10974,0,0,0,0,0,0,0,0,180,65880,3432,44457,0,0,0,0,0,0,0,0,0,0,42,0,42,3,30,9,42,12,3,6,0,0,0,6,0,0,15,42,Yes,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.26984,37.86373,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,Non-Profit Corporation (i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,Urban,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,
106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4800,Yes,01/01/2008,12/31/2008,Open,07/01/1953,07/01/1953,Level II,YES,16,9,9,6001405700, 2c,, 05 - East Bay, Alameda,140000046,Parent Facility,General Acute Care,City and/or County,General Medical / Surgical,191,69906,7816,32976,17,6222,1578,3935,0,0,0,0,20,7320,280,1198,5453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2928,350,58,1613,0,0,0,0,236,86376,10024,43977,0,0,0,0,80,29280,2754,24424,0,0,0,,0,0,0,0,0,0,0,0,0,316,115656,12778,68401,0,0,0,0,0,0,30,1084,2382,0,61,0,61,0,59,2,61,14,0,23,5,1,1,0,0,0,17,61,,,,,,Basic,Basic,2648,17,12104,168,26161,291,15886,67,6241,6696,63040,7239,70279,52,0,8272,Yes,18,5,22,4,11,8,19,8,10,8,6,7,126,-122.2312,37.79917,Respondent,2406,385346,1985,243307,0,0,7,7,Yes,1395,77,10,,,,0,316,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,300 - 499,City and/or County,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,,70279,,,,2665,12272,26452,15953,12937,,Urban,OAKLAND WEST CENTRAL,
106010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND, 94611-5693,510-752-1000,Yes,01/01/2008,12/31/2008,Open,01/01/1946,01/01/1946,,NO,14,9,9,6001404000, 2b,, 05 - East Bay, Alameda,140000052,Parent Facility,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,221,80886,10989,53102,39,14274,2920,9129,33,12078,1399,5169,30,10980,186,945,5927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6588,260,0,5619,0,0,0,0,341,124806,15754,78946,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,341,124806,15754,78946,0,0,0,0,0,0,31,2586,4582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,1775,9,12794,292,18267,4714,3339,1787,62,29,36237,6831,43068,28,7603,814,Yes,17,22,14,22,0,9,14,8,8,2,0,3,119,-122.25801,37.82432,Respondent,6116,1181719,4537,472561,0,0,12,12,,2535,188,33,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,43068,1784,13086,22981,5126,91,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,
106010858,KAISER FND HOSP - HAYWARD,27400 HESPERIAN BOULEVARD,HAYWARD,94545,510-784-4000,Yes,01/01/2008,12/31/2008,Open,12/01/1966,12/01/1966,,NO,18,10,13,6001438300, 2g,, 05 - East Bay, Alameda,140000053,Parent Facility,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,128,46848,6918,31518,30,10980,3199,7357,20,7320,1107,2294,16,5856,290,1211,5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5856,373,588,4083,0,0,0,0,210,76860,11887,50513,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,210,76860,11887,50513,0,0,0,0,0,0,40,2651,4467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,4617,1047,4073,5,7336,120,8831,907,2643,3871,27500,5950,33450,27,0,15382,,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.09338,37.62593,Respondent,2103,325819,3613,320806,0,0,7,7,,3010,216,46,,,,0,876,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,200 - 299,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,33450,5664,4078,7456,9738,6514,,Urban,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,
