OSHPD_ID,OSHPD_ID2,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_OPER_CURRYR,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,FACILITY_LEVEL,LONGITUDE,LATITUDE,LIC_CAT,LICEE_TOC,TYPE_SVC_PRINCIPAL,MED_SURG_BED_LIC,MED_SURG_LICBED_DAY,MED_SURG_DIS,MED_SURG_CENS_DAY,PERINATL_BED_LIC,PERINATL_LICBED_DAY,PERINATL_DIS,PERINATL_CENS_DAY,PED_BED_LIC,PED_LICBED_DAY,PED_DIS,PED_CENS_DAY,ICU_BED_LIC,ICU_LICBED_DAY,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,CCU_BED_LIC,CCU_LICBED_DAY,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,RESP_BED_LIC,RESP_LICBED_DAY,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,BURN_BED_LIC,BURN_LICBED_DAY,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,NICU_BED_LIC,NICU_LICBED_DAY,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,REHAB_BED_LIC,REHAB_LICBED_DAY,REHAB_DIS,REHAB_CENS_DAY,GAC_BED_LIC_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_LICBED_DAY,CHEM_DIS,CHEM_CENS_DAY,PSY_BED_LIC,PSY_LICBED_DAY,PSY_DIS,PSY_CENS_DAY,SN_BED_LIC,SN_LICBED_DAY,SN_DIS,SN_TFR_INHOSP,SN_CENS_DAY,IC_BED_LIC,IC_LICBED_DAY,IC_DIS,IC_CENS_DAY,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,HOSP_BED_LIC_TOTL,HOSP_LICBED_DAY_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,CHEM_GAC_BED_LIC,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_PSY_BED_LIC,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,NEWBORN_NURSRY_CENS_DAY,BED_SWING_SN,PSY_LCK_CENS_PATIENT,PSY_OPN_CENS_PATIENT,PSY_CENS_PATIENT_TOTL,PSY_CENS_PATIENT___17,PSY_CENS_PATIENT_18_64,PSY_CENS_PATIENT__65,PSY_CENS_PATIENT_TOTL1,PSY_CENS_PATIENT_MCAR,PSY_CENS_PATIENT_MNG_MCAR,PSY_CENS_PATIENT_MCAL,PSY_CENS_PATIENT_MNG_MCAL,PSY_CENS_PATIENT_CO_INDIG,PSY_CENS_PATIENT_OTHR_THIRDPTY,PSY_CENS_PATIENT_MNG_OTHR_THIRDP,PSY_CENS_PATIENT_SHDOYL,PSY_CENS_PATIENT_OTHR_INDIG,PSY_CENS_PATIENT_OTHR_PAYER,PSY_CENS_PATIENT_TOTL2,PSY_PROG_SHDOYL,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_MINOR_NO_ADM_VIS,EMS_MINOR_ADM_VIS,EMS_LOWMODERATE_NO_ADM_VIS,EMS_LOWMODERATE_ADM_VIS,EMS_MODERATE_NO_ADM_VIS,EMS_MODERATE_ADM_VIS,EMS_SEVERE_WO_THREAT_NO_ADM_VIS,EMS_SEVERE_WO_THREAT_ADM_VIS,EMS_SEVERE_W_THREAT_NO_ADM_VIS,EMS_SEVERE_W_THREAT_ADM_VIS,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS,resp_stat,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,OP_RM_IP_ONLY,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_TOTL,AMB_SURG_PROG,BIRTHS_LIVE_TOTL,BIRTHS_LIVE__5LBS_8OZ,BIRTHS_LIVE__3LBS_5OZ,ABC_OP_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,PACEMKR_PERM_IMPL,PTCA_ANGIOPLASTY_WITH_STENT,PTCA_ANGIOPLASTY_WITHOUT_STENT,ATHERECTOMY_PTCRA_ABLATION,THROMBO_AGT,PTBV_BALLOON,CATH_OTHR,CATH_TOTL,EQUIP_ACQ_OVER_500K,Include_State_hospital,bed_size_range,TYPE_CNTRL_R1,EMS_Basic,EMS_Standby,EMS_Comp,EMS_GAC_None,EMS_non_GAC,EMSA_ADULT,Level_I_Trauma,Level_II_Trauma,Level_III_Trauma,Level_IV_Trauma,EMSA_PED,Level_I_ped,Level_II_ped,Level_III_ped,Level_IV_ped,EMSA_Trauma,non_emsa,level_I_visit,level_II_visit,level_III_visit,level_IV_visit,non_emsa_visit,MINOR_TOT,LOWM_TOT,MOD_TOT,SEV_WO_TOT,SEV_WT_TOT,unknown_sev,MSSA_Designation,MSSA_Name,F4
106010735,106010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,510-522-3700,Yes,01/01/2009,12/31/2009,Open,01/01/1946,01/01/1946,,NO,16,9,13,6001428500,2e,,05 - East Bay,Alameda,140000002,Parent Facility,-122.25362,37.762953,General Acute Care,District,General Medical / Surgical,84,30660,2689,10012,0,0,0,0,0,0,0,0,8,2920,187,374,1462,8,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,36500,2876,11474,0,0,0,0,0,0,0,0,61,22265,147,0,19671,0,0,0,0,0,0,0,0,161,58765,3023,31145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,359,0,1229,2,8294,38,4484,906,108,1876,14474,2822,17296,12,5,191,Yes,1,8,1,7,0,0,0,3,0,2,0,0,22,Respondent,707,80588,5191,337729,0,1,5,6,Yes,1,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,17296,359,1231,8332,5390,1984,,Urban,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,2e
106010739,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,510-896-6199,Yes,01/01/2009,12/31/2009,Open,01/02/1946,01/02/1946,,NO,14,9,9,6001423902,2b,,05 - East Bay,Alameda,140000004,Parent Facility,-122.25784,37.85633,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,146,53290,8756,38711,116,42340,8328,26630,0,0,0,0,16,5840,366,1302,5802,14,5110,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20075,1164,297,16684,0,0,0,0,347,126655,18614,87827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,126655,18614,87827,0,0,0,0,0,0,80,6578,16684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,2200,24,19882,2059,9957,2636,2809,921,983,1021,35831,6661,42492,22,1378,1772,Yes,0,2,3,3,35,0,14,3,2,0,5,2,69,Respondent,3416,415560,4287,305760,0,0,13,13,Yes,7726,662,157,Yes,YES,,5542,2178,CATH LAB,0,0,0,0,0,0,0,0,2,0,0,0,0,116,234,45,81,161,315,183,90,14,0,0,0,28,315,Yes,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,42492,2224,21941,12593,3730,2004,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,2b
106010776,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,510-428-3000,Yes,01/01/2009,12/31/2009,Open,01/01/1946,01/01/1946,Level I - Pediatric,NO,16,9,9,6001401000,2c,,05 - East Bay,Alameda,140000015,Parent Facility,-122.26747,37.83722,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,0,0,0,0,0,0,0,0,111,40515,9355,37164,23,8395,689,1040,6755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16060,416,381,11353,12,4380,452,2671,190,69350,10912,57943,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,190,69350,10912,57943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,24960,0,2991,0,20033,0,0,6140,0,1374,47984,7514,55498,37,24960,759,Yes,2,4,3,0,0,0,5,0,0,0,0,0,14,Respondent,3754,457991,5377,319444,0,6,5,11,Yes,0,0,0,,,,0,0,CV SURG,5,108,106,0,0,108,106,4,5,87,84,0,0,0,0,0,0,87,84,0,0,0,0,0,0,84,84,,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,55498,,,,,24960,2991,20033,6140,1374,,Urban,OAKLAND WEST CENTRAL,2c
106010782,106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,390 FORTIETH STREET,OAKLAND,94609,510-653-5040,Yes,01/01/2009,12/31/2009,Open,12/18/1960,12/18/1960,,NO,14,9,9,6001401200,2b,,05 - East Bay,Alameda,140000272,Parent Facility,-122.26021,37.82862,Chemical Dependency Recovery Hospital,Non-Profit Corporation (incl. Church-related),Chemical Dependency (Alcohol/Drug),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,159,9458,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,50,18250,159,9458,0,159,9458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,50 - 99,Non-Profit Corporation (i,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,2b
106010805,106010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,510-869-8228-3793,Yes,01/01/2009,12/31/2009,Open,11/08/1954,11/08/1954,Level II,NO,18,10,9,6001430900,2f,,05 - East Bay,Alameda,140000030,Parent Facility,-122.08753,37.69871,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,111,40515,8032,30199,11,4015,1007,2466,2,730,0,0,17,6205,257,476,2932,11,4015,258,381,2441,0,0,0,0,0,0,0,0,0,0,3,1095,179,0,555,0,0,0,0,155,56575,9733,38593,0,0,0,0,23,8395,416,2656,0,0,0,,0,0,0,0,0,0,0,0,0,178,64970,10149,41249,0,0,0,0,0,0,11,1186,3021,0,8,0,8,0,8,0,8,2,0,2,0,0,0,4,0,0,0,8,,,,,,Basic,Basic,3934,0,10929,0,7568,2042,4606,2042,2949,906,29986,4990,34976,16,3934,835,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,2029,273825,1436,114795,6,1,0,7,Yes,1167,31,4,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,,34976,,,,3934,10929,9610,6648,3855,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,2f
106010811,106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4800,Yes,01/01/2009,12/31/2009,Open,07/01/1953,07/01/1953,,NO,18,10,9,6001430500,2f,,05 - East Bay,Alameda,140000046,Consolidated Facility,-122.12057,37.70789,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,491,11492,50,18250,491,11492,0,0,0,0,0,0,0,0,109,39785,166,,32909,0,0,0,0,0,0,0,0,159,58035,657,44401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,City and/or County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,2f
106010844,106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,510-869-6199,Yes,01/01/2009,12/31/2009,Open,01/01/1946,01/01/1946,,NO,14,9,9,6001422900,2a,,05 - East Bay,Alameda,140000004,Consolidated Facility,-122.26984,37.86373,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15330,729,11543,42,15330,729,11543,0,0,0,0,105,38325,2851,20232,33,12045,14,0,9258,0,0,0,0,0,0,0,0,180,65700,3594,41033,0,0,0,0,0,0,0,0,0,0,48,0,48,2,41,5,48,11,3,7,0,0,0,7,0,0,20,48,Yes,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,150 - 199,Non-Profit Corporation (i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,Urban,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,2a
106010846,106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4800,Yes,01/01/2009,12/31/2009,Open,07/01/1953,07/01/1953,Level II,YES,16,9,9,6001405700,2c,,05 - East Bay,Alameda,140000046,Parent Facility,-122.2312,37.79917,General Acute Care,City and/or County,General Medical / Surgical,191,69715,6732,29412,17,6205,1554,4268,0,0,0,0,20,7300,291,1113,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2920,391,66,1783,0,0,0,0,236,86140,8968,41255,0,0,0,0,80,29200,3254,23400,0,0,0,,0,0,0,0,0,0,0,0,0,316,115340,12222,64655,0,0,0,0,0,0,20,1027,2277,0,62,0,62,0,59,3,62,19,2,22,0,0,1,0,0,0,18,62,,,,,,Basic,Basic,2374,38,21333,71,34006,391,15263,597,4315,5223,77291,6320,83611,52,0,8135,Yes,20,5,20,11,22,28,15,22,21,13,7,15,199,Respondent,2270,357856,2007,248353,0,0,7,7,Yes,1354,77,8,,,,0,335,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,300 - 499,City and/or County,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,,83611,,,,2412,21404,34397,15860,9538,,Urban,OAKLAND WEST CENTRAL,2c
106010856,106010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,510-307-1500,Yes,01/01/2009,12/31/2009,Open,01/01/1946,01/01/1946,,NO,14,9,9,6001404000,2b,,05 - East Bay,Alameda,140000052,Parent Facility,-122.25801,37.82432,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,221,80665,10769,49836,39,14235,2522,6098,33,12045,1664,7735,30,10950,270,1396,5787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6570,374,191,5868,0,0,0,0,341,124465,15599,75324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,124465,15599,75324,0,0,0,0,0,0,31,1968,3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,5738,1118,3051,40,14499,241,11476,2018,4005,3087,38769,6504,45273,30,4979,4399,Yes,12,3,20,17,9,2,0,0,2,3,0,0,68,Respondent,6044,1194963,4855,507859,0,0,12,12,,2235,173,31,,,,0,695,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,45273,6856,3091,14740,13494,7092,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,2b
106010858,106010858,KAISER FND HOSP - HAYWARD,27400 HESPERIAN BOULEVARD,HAYWARD,94545,510-784-4000,Yes,01/01/2009,12/31/2009,Open,12/01/1966,12/01/1966,,NO,18,10,13,6001438300,2g,,05 - East Bay,Alameda,140000053,Parent Facility,-122.09338,37.62593,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,128,46720,6767,26343,30,10950,2825,6511,20,7300,839,1891,16,5840,309,1190,4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5840,390,225,4456,0,0,0,0,210,76650,11130,44017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,76650,11130,44017,0,0,0,0,0,0,40,2332,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,14222,463,8554,40,10636,515,6532,2844,690,1709,40634,5571,46205,27,0,6221,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,2111,311157,3542,324171,0,0,7,7,,2706,201,43,,,,0,847,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,200 - 299,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,46205,14685,8594,11151,9376,2399,,Urban,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,2g
