OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_OPER_CURRYR,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,FACILITY_LEVEL,LONGITUDE,LATITUDE,LIC_CAT,LICEE_TOC,TYPE_SVC_PRINCIPAL,MED_SURG_BED_LIC,MED_SURG_LICBED_DAY,MED_SURG_DIS,MED_SURG_CENS_DAY,PERiNATL_BED_LIC,PERINATL_LICBED_DAY,PERINATL_DIS,PERINATL_CENS_DAY,PED_BED_LIC,PED_LICBED_DAY,PED_DIS,PED_CENS_DAY,ICU_BED_LIC,ICU_LICBED_DAY,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,CCU_BED_LIC,CCU_LICBED_DAY,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,RESP_BED_LIC,RESP_LICBED_DAY,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,BURN_BED_LIC,BURN_LICBED_DAY,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,NICU_BED_LIC,NICU_LICBED_DAY,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,REHAB_BED_LIC,REHAB_LICBED_DAY,REHAB_DIS,REHAB_CENS_DAY,GAC_BED_LIC_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_LICBED_DAY,CHEM_DIS,CHEM_CENS_DAY,PSY_BED_LIC,PSY_LICBED_DAY,PSY_DIS,PSY_CENS_DAY,SN_BED_LIC,SN_LICBED_DAY,SN_DIS,SN_TFR_INHOSP,SN_CENS_DAY,IC_BED_LIC,IC_LICBED_DAY,IC_DIS,IC_CENS_DAY,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,HOSP_BED_LIC_TOTL,HOSP_LICBED_DAY_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,CHEM_GAC_BED_LIC,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_PSY_BED_LIC,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,NEWBORN_NURSRY_CENS_DAY,BED_SWING_SN,PSY_LCK_CENS_PATIENT,PSY_OPN_CENS_PATIENT,PSY_CENS_PATIENT_TOTL,PSY_CENS_PATIENT_<=17,PSY_CENS_PATIENT_18_64,PSY_CENS_PATIENT_=65,PSY_CENS_PATIENT_TOTL_0001,PSY_CENS_PATIENT_MCAR,PSY_CENS_PATIENT_MNG_MCAR,PSY_CENS_PATIENT_MCAL,PSY_CENS_PATIENT_MNG_MCAL,PSY_CENS_PATIENT_CO_INDIG,PSY_CENS_PATIENT_OTHR_THIRDPTY,PSY_CENS_PATIENT_MNG_OTHR_THIRDP,PSY_CENS_PATIENT_SHDOYL,PSY_CENS_PATIENT_OTHR_INDIG,PSY_CENS_PATIENT_OTHR_PAYER,PSY_CENS_PATIENT_TOTL_0002,PSY_PROG_SHDOYL,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_MINOR_NO_ADM_VIS,EMS_MINOR_ADM_VIS,EMS_LOW_MODERATE_NO_ADM_VIS,EMS_LOW_MODERATE_ADM_VIS,EMS_MODERATE_NO_ADM_VIS,EMS_MODERATE_ADM_VIS,EMS_SEVERE_WO_THREAT_NO_ADM_VIS,EMS_SEVERE_WO_THREAT_ADM_VIS,EMS_SEVERE_W_THREAT_NO_ADM_VIS,EMS_SEVERE_W_THREAT_ADM_VIS,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS,resp_stat,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,OP_RM_IP_ONLY,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_TOTL,AMB_SURG_PROG,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_LT5LBS_8OZ,BIRTHS_LIVE_LT3LBS_5OZ,ABC_OP_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,CARDIAC_CATH_PROC,MYOCARDIAL_BIOPSY,PACEMKR_PERM_IMPL,OTH_PERM_PACEMAKER_PROC,IMPLANTABLE_CARDIO_DEFIB_IMPLANT,OTH_PROCEDURES,PCI_ANGIOPLASTY_WITH_STENT,PCI_ANGIOPLASTY_WITHOUT_STENT,ATHERECTOMY_PTCRA_ABLATION,THROMBO_AGT,PTBV_BALLOON,DIAGNOSTIC_ELECTROPHYSIOLOGY_EP,CATHETER_ABLATION,PERIPHERAL_VASCULAR_ANGIOGRAPHY,PERIPHERAL_VASCULAR_INTERVENTION,CAROTID_STENTING,INTRA_AORTIC_BALLOON_PUMP_INS,CATHETER_BASED_VENTRICULAR_INS,CATH_OTHR,CATH_TOTL,EQUIP_ACQ_OVER_500K,EMS_LOWMODERATE_NO_ADM_VIS,EMS_LOWMODERATE_ADM_VIS,Include_State_hospital,bed_size_range,TYPE_CNTRL_R1,EMS_Basic,EMS_Standby,EMS_Comp,EMS_GAC_None,EMS_non_GAC,EMSA_ADULT,Level_I_Trauma,Level_II_Trauma,Level_III_Trauma,Level_IV_Trauma,EMSA_PED,Level_I_ped,Level_II_ped,Level_III_ped,Level_IV_ped,EMSA_Trauma,non_emsa,level_I_visit,level_II_visit,level_III_visit,level_IV_visit,non_emsa_visit,MINOR_TOT,LOWM_TOT,MOD_TOT,SEV_WO_TOT,SEV_WT_TOT,unknown_sev,MSSA_DESIGNATION,MSSA_NAME,unknown_sev,MSSA_DESIGNATION,MSSA_NAME
106010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,510-522-3700,Yes,01Jan2010,31Dec2010,Open,01Jan1946,01Jan1946,,NO,16,9,13,6001428500,2e,,05 - East Bay,Alameda,140000002,Parent Facility,-122.25362,37.762953,General Acute Care,District,General Medical / Surgical,84,30660,2441,8868,0,0,0,0,0,0,0,0,8,2920,0,0,0,8,2920,143,383,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,36500,2584,10334,0,0,0,0,0,0,0,0,61,22265,115,0,20234,0,0,0,0,0,0,0,0,161,58765,2699,30568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,192,3,878,1,7155,13,4381,782,1485,1747,14091,2546,16637,12,0,122,Yes,5,0,0,30,11,5,20,0,11,0,3,80,165,Respondent,596,63774,2516,143771,0,1,5,6,Yes,1,1,1,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,No,150 - 199,District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,16637,195,879,7168,5163,3232,,Urban,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,,Urban,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,510-204-4444,Yes,01Jan2010,31Dec2010,Open,02Jan1946,02Jan1946,,NO,14,9,9,6001423902,2b,,05 - East Bay,Alameda,140000004,Parent Facility,-122.25784,37.85633,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,146,53290,8693,37990,116,42340,8323,26301,0,0,0,0,16,5840,382,1183,5587,14,5110,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20075,1179,372,17864,0,0,0,0,347,126655,18577,87742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,126655,18577,87742,0,0,0,0,0,0,0,6661,14715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,677,0,3756,2,13823,60,11717,1052,5044,5622,35017,6736,41753,22,0,1323,Yes,3,0,6,0,5,3,0,3,5,0,3,19,47,Respondent,3393,404580,4191,290760,0,0,13,13,Yes,7727,740,179,Yes,YES,,5542,2179,CATH LAB,0,0,0,0,0,0,0,0,2,0,0,0,0,97,212,28,60,125,272,226,0,66,33,14,22,44,15,0,0,0,43,41,0,0,0,11,0,43,558,Yes,,,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,41753,677,3758,13883,12769,10666,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,510-428-3000,Yes,01Jan2010,31Dec2010,Open,01Jan1946,01Jan1946,Level I - Pediatric,NO,16,9,9,6001401000,2c,,05 - East Bay,Alameda,140000015,Parent Facility,-122.26747,37.83722,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,0,0,0,0,0,0,0,0,111,40515,9718,35188,23,8395,704,1123,6348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16060,471,338,9924,12,4380,98,2709,190,69350,10991,54169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,69350,10991,54169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,17697,0,7716,0,17203,0,0,7424,0,286,42616,7710,50326,37,17697,822,Yes,0,0,0,0,4,0,2,0,1,0,0,0,7,Respondent,3832,454450,4481,250254,0,6,5,11,Yes,0,0,0,,,,0,0,CV SURG,5,115,66,0,0,115,66,3,5,90,79,0,0,0,0,0,0,90,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,Yes,,,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,50326,,,,,17697,7716,17203,7424,286,,Urban,OAKLAND WEST CENTRAL,,Urban,OAKLAND WEST CENTRAL
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,390 FORTIETH STREET,OAKLAND,94609,510-653-5040,Yes,01Jan2010,31Dec2010,Open,18Dec1960,18Dec1960,,NO,14,9,9,6001401200,2b,,05 - East Bay,Alameda,140000272,Parent Facility,-122.26021,37.82862,Chemical Dependency Recovery Hospital,Non-Profit Corporation (incl. Church-related),Chemical Dependency (Alcohol/Drug),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,218,10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,218,10087,0,218,10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,No,50 - 99,Non-Profit Corporation (i,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS
106010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,510-869-8228-3793,Yes,01Jan2010,31Dec2010,Open,08Nov1954,08Nov1954,Level II,NO,18,10,9,6001430900,2f,,05 - East Bay,Alameda,140000030,Parent Facility,-122.08753,37.69871,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,111,40515,7795,29910,11,4015,828,2387,2,730,0,0,17,6205,207,448,3287,11,4015,228,504,2904,0,0,0,0,0,0,0,0,0,0,3,1095,156,0,555,0,0,0,0,155,56575,9214,39043,0,0,0,0,23,8395,409,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,178,64970,9623,41568,0,0,0,0,0,0,11,1002,2459,0,4,0,4,0,4,0,4,1,0,2,0,0,1,0,0,0,0,4,,,,,,Basic,Basic,392,0,2604,0,10643,1064,8602,1596,8972,2661,31213,5321,36534,16,2996,851,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,2170,283971,1512,120871,6,1,0,7,Yes,1160,30,5,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,,36534,,,,392,2604,11707,10198,11633,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST
106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4800,Yes,01Jan2010,31Dec2010,Open,01Jul1953,01Jul1953,,NO,18,10,9,6001430500,2f,,05 - East Bay,Alameda,140000046,Consolidated Facility,-122.12057,37.70789,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,508,11364,50,18250,508,11364,0,0,0,0,0,0,0,0,109,39785,166,0,37633,0,0,0,0,0,0,0,0,159,58035,674,48997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,No,150 - 199,City and/or County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,510-204-4444,Yes,01Jan2010,31Dec2010,Open,01Jan1946,01Jan1946,,NO,14,9,9,6001422900,2a,,05 - East Bay,Alameda,140000004,Consolidated Facility,-122.26984,37.86373,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15330,759,12757,42,15330,759,12757,0,0,0,0,105,38325,2774,19793,33,12045,8,0,8160,0,0,0,0,0,0,0,0,180,65700,3541,40710,0,0,0,0,0,0,0,0,0,0,41,0,41,2,32,7,41,9,1,11,0,0,0,20,0,0,0,41,Yes,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,No,150 - 199,Non-Profit Corporation (i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,Urban,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,,Urban,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST
106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4800,Yes,01Jan2010,31Dec2010,Open,01Jul1953,01Jul1953,Level II,YES,16,9,9,6001405700,2c,,05 - East Bay,Alameda,140000046,Parent Facility,-122.2312,37.79917,General Acute Care,City and/or County,General Medical / Surgical,191,69715,7977,31483,17,6205,1415,3624,0,0,0,0,20,7300,302,1075,5726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2920,335,70,1463,0,0,0,0,236,86140,10029,42296,0,0,0,0,80,29200,2985,24324,0,0,0,0,0,0,0,0,0,0,0,0,0,316,115340,13014,66620,0,0,0,0,0,0,30,938,2041,0,67,0,67,0,64,3,67,12,0,26,6,0,2,0,0,0,21,67,,,,,,Basic,Basic,2296,46,20629,85,32883,472,14759,720,4173,6300,74740,7623,82363,52,0,5969,Yes,12,15,10,4,7,7,23,13,32,8,13,17,161,Respondent,2305,362509,2304,280714,0,0,7,7,Yes,1216,70,8,,,,0,313,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,No,300 - 499,City and/or County,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,,82363,,,,2342,20714,33355,15479,10473,,Urban,OAKLAND WEST CENTRAL,,Urban,OAKLAND WEST CENTRAL
106010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,510-752-1000,Yes,01Jan2010,31Dec2010,Open,01Jan1946,01Jan1946,,NO,14,9,9,6001404000,2b,,05 - East Bay,Alameda,140000052,Parent Facility,-122.25801,37.82432,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,221,80665,11008,48702,39,14235,2267,5642,33,12045,1801,8167,30,10950,242,1563,5910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6570,288,163,4619,0,0,0,0,341,124465,15606,73040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,124465,15606,73040,0,0,0,0,0,0,31,1856,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,15228,117,5993,38,8449,339,9618,2880,1628,3667,40916,7041,47957,32,0,1300,Yes,7,11,10,6,6,11,4,4,6,2,4,8,79,Respondent,5144,1049578,4783,576793,0,0,12,12,,2086,177,29,,,,0,630,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,47957,15345,6031,8788,12498,5295,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS
106010858,KAISER FND HOSP - HAYWARD/FREMONT,27400 HESPERIAN BOULEVARD,HAYWARD,94545,510-784-4000,Yes,01Jan2010,31Dec2010,Open,01Dec1966,01Dec1966,,NO,18,10,13,6001438300,2g,,05 - East Bay,Alameda,140000053,Parent Facility,-122.09338,37.62593,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,128,46720,6423,22018,30,10950,2686,6251,20,7300,779,1932,16,5840,316,1258,4015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5840,190,217,2438,0,0,0,0,210,76650,10394,36654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,76650,10394,36654,0,0,0,0,0,0,40,2355,5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,12073,17,9859,26,11711,431,8328,3037,1008,1906,42979,5417,48396,26,0,825,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,1923,280157,3734,344350,0,0,7,7,,2554,184,37,,,,0,777,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,No,200 - 299,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,48396,12090,9885,12142,11365,2914,,Urban,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,,Urban,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST
