OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_OPER_CURRYR,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,FACILITY_LEVEL,LONGITUDE,LATITUDE,LIC_CAT,LICEE_TOC,TYPE_SVC_PRINCIPAL,MED_SURG_BED_LIC,MED_SURG_LICBED_DAY,MED_SURG_DIS,MED_SURG_CENS_DAY,PERINATL_BED_LIC,PERINATL_LICBED_DAY,PERINATL_DIS,PERINATL_CENS_DAY,PED_BED_LIC,PED_LICBED_DAY,PED_DIS,PED_CENS_DAY,ICU_BED_LIC,ICU_LICBED_DAY,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,CCU_BED_LIC,CCU_LICBED_DAY,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,RESP_BED_LIC,RESP_LICBED_DAY,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,BURN_BED_LIC,BURN_LICBED_DAY,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,NICU_BED_LIC,NICU_LICBED_DAY,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,REHAB_BED_LIC,REHAB_LICBED_DAY,REHAB_DIS,REHAB_CENS_DAY,GAC_BED_LIC_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_LICBED_DAY,CHEM_DIS,CHEM_CENS_DAY,PSY_BED_LIC,PSY_LICBED_DAY,PSY_DIS,PSY_CENS_DAY,SN_BED_LIC,SN_LICBED_DAY,SN_DIS,SN_TFR_INHOSP,SN_CENS_DAY,IC_BED_LIC,IC_LICBED_DAY,IC_DIS,IC_CENS_DAY,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,HOSP_BED_LIC_TOTL,HOSP_LICBED_DAY_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,CHEM_GAC_BED_LIC,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_PSY_BED_LIC,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,NEWBORN_NURSRY_CENS_DAY,BED_SWING_SN,PSY_LCK_CENS_PATIENT,PSY_OPN_CENS_PATIENT,PSY_CENS_PATIENT_TOTL,PSY_CENS_PATIENT_<=17,PSY_CENS_PATIENT_18-64,PSY_CENS_PATIENT_=65,PSY_CENS_PATIENT_TOTL_1,PSY_CENS_PATIENT_MCAR,PSY_CENS_PATIENT_MNG_MCAR,PSY_CENS_PATIENT_MCAL,PSY_CENS_PATIENT_MNG_MCAL,PSY_CENS_PATIENT_CO_INDIG,PSY_CENS_PATIENT_OTHR_THIRDPTY,PSY_CENS_PATIENT_MNG_OTHR_THIRDP,PSY_CENS_PATIENT_SHDOYL,PSY_CENS_PATIENT_OTHR_INDIG,PSY_CENS_PATIENT_OTHR_PAYER,PSY_CENS_PATIENT_TOTL_2,PSY_PROG_SHDOYL,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_MINOR_NO_ADM_VIS,EMS_MINOR_ADM_VIS,EMS_LOWMODERATE_NO_ADM_VIS,EMS_LOWMODERATE_ADM_VIS,EMS_MODERATE_NO_ADM_VIS,EMS_MODERATE_ADM_VIS,EMS_SEVERE_WO_THREAT_NO_ADM_VIS,EMS_SEVERE_WO_THREAT_ADM_VIS,EMS_SEVERE_W_THREAT_NO_ADM_VIS,EMS_SEVERE_W_THREAT_ADM_VIS,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS,resp_stat,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,OP_RM_IP_ONLY,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_TOTL,AMB_SURG_PROG,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_LT5LBS_8OZ,BIRTHS_LIVE_LT3LBS_5OZ,ABC_OP_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,CARDIAC_CATH_PROC,MYOCARDIAL_BIOPSY,PACEMKR_PERM_IMPL,OTH_PERM_PACEMAKER_PROC,IMPLANTABLE_CARDIO_DEFIB_IMPLANT,OTH_PROCEDURES,PCI_ANGIOPLASTY_WITH_STENT,PCI_ANGIOPLASTY_WITHOUT_STENT,ATHERECTOMY_PTCRA_ABLATION,THROMBO_AGT,PTBV_BALLOON,DIAGNOSTIC_ELECTROPHYSIOLOGY_EP,CATHETER_ABLATION,PERIPHERAL_VASCULAR_ANGIOGRAPHY,PERIPHERAL_VASCULAR_INTERVENTION,CAROTID_STENTING,INTRA_AORTIC_BALLOON_PUMP_INS,CATHETER_BASED_VENTRICULAR_INS,CATH_OTHR,CATH_TOTL,EQUIP_ACQ_OVER_500K,Include_State_hospital,bed_size_range,TYPE_CNTRL_R1,EMS_Basic,EMS_Comp,EMS_Standby,EMS_GAC_None,EMSA_ADULT,Level_I_Trauma,Level_II_Trauma,Level_III_Trauma,Level_IV_Trauma,EMSA_PED,Level_I_ped,Level_II_ped,Level_III_ped,Level_IV_ped,EMSA_Trauma,EMSA_EITHER,non_emsa,level_I_visit,level_II_visit,level_III_visit,level_IV_visit,non_emsa_visit,MINOR_TOT,LOWM_TOT,MOD_TOT,SEV_WO_TOT,SEV_WT_TOT,unknown_sev,MSSA_DESIGNATION,MSSA_NAME,oshpd_id2,oshpd_id2
106010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,510-814-4000,Yes,01/01/2011,12/31/2011,Open,01/01/1946,01/01/1946,,NO,16,9,13,6001428500,2e,,05 - East Bay,Alameda,140000002,Parent Facility,-122.25362,37.762953,General Acute Care,District,General Medical / Surgical,84,30660,2368,8891,0,0,0,0,0,0,0,0,8,2920,0,0,0,8,2920,159,180,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,36500,2527,10443,0,0,0,0,0,0,0,0,61,22265,133,,19827,0,0,0,0,0,0,0,0,161,58765,2660,30270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,465,1,1467,4,7138,47,3649,735,1428,1882,14147,2669,16816,12,0,157,Yes,0,0,3,2,0,6,20,0,11,0,3,80,125,Respondent,597,60777,1778,91393,0,1,5,6,Yes,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,16816,466,1471,7185,4384,3310,,Urban,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,106010735,106010735
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,510-204-4444,Yes,01/01/2011,12/31/2011,Open,01/02/1946,01/02/1946,,NO,14,9,9,6001423902,2b,,05 - East Bay,Alameda,140000004,Parent Facility,-122.25784,37.85633,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,146,53290,8476,37611,116,42340,7895,25162,0,0,0,0,16,5840,316,1117,5143,14,5110,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20075,995,281,15308,0,0,0,0,347,126655,17682,83224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,126655,17682,83224,0,0,0,0,0,0,80,6357,14090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,671,2,4229,6,13741,81,11970,1050,5072,5045,35683,6184,41867,22,0,1053,Yes,1,3,4,2,0,3,0,0,11,4,2,9,39,Respondent,3268,384720,4323,313440,0,0,13,13,Yes,7218,669,146,Yes,YES,,5276,1937,CATH LAB,0,0,0,0,0,0,0,0,1,0,0,0,0,96,65,9,9,105,74,118,0,53,23,32,11,40,5,0,0,0,29,29,0,0,0,4,0,0,344,Yes,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,41867,673,4235,13822,13020,10117,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010739,106010739
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,510-428-3000,Yes,01/01/2011,12/31/2011,Open,01/01/1946,01/01/1946,Level I - Pediatric,NO,16,9,9,6001401000,2c,,05 - East Bay,Alameda,140000015,Parent Facility,-122.26747,37.83722,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,0,0,0,0,0,0,0,0,111,40515,9158,33232,23,8395,607,1322,6242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16060,384,312,10139,12,4380,105,2790,190,69350,10254,52403,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,190,69350,10254,52403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,1155,0,6762,18,27033,261,4029,3937,1500,2208,40479,6424,46903,37,0,710,Yes,0,0,2,0,4,0,0,7,0,3,1,1,18,Respondent,3734,459360,5331,301860,0,2,10,12,Yes,0,0,0,,,,0,0,CV SURG,1,133,23,0,0,133,23,0,1,58,60,2,0,0,0,0,0,60,60,60,0,0,1,0,0,5,45,0,0,6,0,0,0,0,0,0,1,2,120,,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,46903,,,,,1155,6780,27294,7966,3708,,Urban,OAKLAND WEST CENTRAL,106010776,106010776
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,390 FORTIETH STREET,OAKLAND,94609,510-653-5040-339,Yes,01/01/2011,12/31/2011,Open,12/18/1960,12/18/1960,,NO,14,9,9,6001401200,2b,,05 - East Bay,Alameda,140000272,Parent Facility,-122.26021,37.82862,Chemical Dependency Recovery Hospital,Non-Profit Corporation (incl. Church-related),Chemical Dependency (Alcohol/Drug),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,185,10180,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,50,18250,185,10180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,50 - 99,Non-Profit Corporation (i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010782,106010782
106010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,510-869-8228-3793,Yes,01/01/2011,12/31/2011,Open,11/08/1954,11/08/1954,Level II,NO,18,10,9,6001430900,2f,,05 - East Bay,Alameda,140000030,Parent Facility,-122.08753,37.69871,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,111,40515,7694,28637,11,4015,843,2389,2,730,0,0,17,6205,217,536,3237,11,4015,252,431,2654,0,0,0,0,0,0,0,0,0,0,3,1095,122,0,696,0,0,0,0,155,56575,9128,37613,0,0,0,0,23,8395,446,2563,0,0,0,,0,0,0,0,0,0,0,0,0,178,64970,9574,40176,0,0,0,0,0,0,11,1017,2364,0,5,0,5,0,5,0,5,1,1,0,0,0,0,3,0,0,0,5,,,,,,Basic,Basic,437,0,2760,1,11853,23,9146,347,9769,5068,33965,5439,39404,16,3197,707,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,1805,233893,1585,157374,6,1,0,7,Yes,1128,46,3,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,,39404,,,,437,2761,11876,9493,14837,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,106010805,106010805
106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4800,Yes,01/01/2011,12/31/2011,Open,07/01/1953,07/01/1953,,NO,18,10,9,6001430500,2f,,05 - East Bay,Alameda,140000046,Consolidated Facility,-122.12057,37.70789,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,525,8823,50,18250,525,8823,0,0,0,0,0,0,0,0,109,39785,170,0,37385,0,0,0,0,0,0,0,0,159,58035,695,46208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,City and/or County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,106010811,106010811
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,510-204-4444,Yes,01/01/2011,12/31/2011,Open,01/01/1946,01/01/1946,,NO,14,9,9,6001422900,2a,,05 - East Bay,Alameda,140000004,Consolidated Facility,-122.26984,37.86373,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15330,775,12476,42,15330,775,12476,0,0,0,0,105,38325,2739,18520,33,12045,6,0,7537,0,0,0,0,0,0,0,0,180,65700,3520,38533,0,0,0,0,0,0,0,0,0,0,41,0,41,4,32,5,41,8,0,8,0,0,0,25,0,0,0,41,Yes,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,Non-Profit Corporation (i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,,Urban,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,106010844,106010844
106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4800,Yes,01/01/2011,12/31/2011,Open,07/01/1953,07/01/1953,Level II,YES,16,9,9,6001405700,2c,,05 - East Bay,Alameda,140000046,Parent Facility,-122.2312,37.79917,General Acute Care,City and/or County,General Medical / Surgical,191,69715,8689,32841,17,6205,1278,3227,0,0,0,0,20,7300,276,1053,6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2920,335,48,1665,0,0,0,0,236,86140,10578,43824,0,0,0,0,80,29200,2764,24758,0,0,0,,0,0,0,0,0,0,0,0,0,316,115340,13342,68582,0,0,0,0,0,0,20,836,1936,0,67,0,67,0,62,5,67,15,0,9,19,3,3,1,0,0,17,67,Yes,,,,,Basic,Basic,32663,73,8963,50,9857,71,16650,261,5518,7655,73651,8110,81761,52,0,6511,Yes,13,5,26,26,19,19,31,18,19,22,25,28,251,Respondent,2472,382895,2479,304481,0,0,7,7,Yes,1109,90,9,,,,0,273,NEITHER,0,0,0,0,0,0,0,0,1,0,0,0,0,45,12,49,13,94,25,94,0,0,0,0,0,19,2,0,0,0,0,0,20,23,0,4,0,35,197,Yes,No,300 - 499,City and/or County,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,,81761,,,,32736,9013,9928,16911,13173,,Urban,OAKLAND WEST CENTRAL,106010846,106010846
106010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,510-752-1000,Yes,01/01/2011,12/31/2011,Open,01/01/1946,01/01/1946,,YES,14,9,9,6001404000,2b,,05 - East Bay,Alameda,140000052,Parent Facility,-122.25801,37.82432,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,221,80665,10916,45178,39,14235,2437,6042,33,12045,1952,8353,30,10950,274,1570,5540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6570,274,173,5262,0,0,0,0,341,124465,15853,70375,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,341,124465,15853,70375,0,0,0,0,0,0,31,1978,3843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,14570,65,6541,41,8446,275,11378,2509,2787,4113,43722,7003,50725,32,0,1856,Yes,17,4,12,4,6,4,4,0,2,6,0,2,61,Respondent,5452,1074703,4800,561869,0,0,12,12,,2217,172,39,,,,0,689,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,50725,14635,6582,8721,13887,6900,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010856,106010856
106010858,KAISER FND HOSP - HAYWARD/FREMONT,27400 HESPERIAN BOULEVARD,HAYWARD,94545,510-784-4000,Yes,01/01/2011,12/31/2011,Open,12/01/1966,12/01/1966,,NO,18,10,13,6001438300,2g,,05 - East Bay,Alameda,140000053,Parent Facility,-122.09338,37.62593,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,128,46720,6482,22333,33,11043,2584,6179,20,7300,826,1770,16,5840,318,1320,4173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5840,23,154,1405,0,0,0,0,213,76743,10233,35860,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,213,76743,10233,35860,0,0,0,0,0,0,20,2458,6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,12483,33,9525,23,11329,359,9085,2642,1473,2558,43895,5615,49510,26,0,693,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,1936,278530,3814,353014,0,0,7,7,,2500,206,45,,,,0,830,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,200 - 299,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,49510,12516,9548,11688,11727,4031,,Urban,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,106010858,106010858
