OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_OPER_CURRYR,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,FACILITY_LEVEL,LONGITUDE,LATITUDE,LIC_CAT,LICEE_TOC,TYPE_SVC_PRINCIPAL,MED_SURG_BED_LIC,MED_SURG_LICBED_DAY,MED_SURG_DIS,MED_SURG_CENS_DAY,PERINATL_BED_LIC,PERINATL_LICBED_DAY,PERINATL_DIS,PERINATL_CENS_DAY,PED_BED_LIC,PED_LICBED_DAY,PED_DIS,PED_CENS_DAY,ICU_BED_LIC,ICU_LICBED_DAY,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,CCU_BED_LIC,CCU_LICBED_DAY,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,RESP_BED_LIC,RESP_LICBED_DAY,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,BURN_BED_LIC,BURN_LICBED_DAY,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,NICU_BED_LIC,NICU_LICBED_DAY,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,REHAB_BED_LIC,REHAB_LICBED_DAY,REHAB_DIS,REHAB_CENS_DAY,GAC_BED_LIC_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_LICBED_DAY,CHEM_DIS,CHEM_CENS_DAY,PSY_BED_LIC,PSY_LICBED_DAY,PSY_DIS,PSY_CENS_DAY,SN_BED_LIC,SN_LICBED_DAY,SN_DIS,SN_TFR_INHOSP,SN_CENS_DAY,IC_BED_LIC,IC_LICBED_DAY,IC_DIS,IC_CENS_DAY,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,HOSP_BED_LIC_TOTL,HOSP_LICBED_DAY_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,CHEM_GAC_BED_LIC,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_PSY_BED_LIC,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,NEWBORN_NURSRY_CENS_DAY,BED_SWING_SN,PSY_LCK_CENS_PATIENT,PSY_OPN_CENS_PATIENT,PSY_CENS_PATIENT_TOTL,PSY_CENS_PATIENT_LE17,PSY_CENS_PATIENT_18_64,PSY_CENS_PATIENT_EQ65,PSY_CENS_PATIENT_TOTL_1,PSY_CENS_PATIENT_MCAR,PSY_CENS_PATIENT_MNG_MCAR,PSY_CENS_PATIENT_MCAL,PSY_CENS_PATIENT_MNG_MCAL,PSY_CENS_PATIENT_CO_INDIG,PSY_CENS_PATIENT_OTHR_THIRDPTY,PSY_CENS_PATIENT_MNG_OTHR_THIRDP,PSY_CENS_PATIENT_SHDOYL,PSY_CENS_PATIENT_OTHR_INDIG,PSY_CENS_PATIENT_OTHR_PAYER,PSY_CENS_PATIENT_TOTL_2,PSY_PROG_SHDOYL,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_VISITS_NON_URGENT_NOT_ADM,EMS_MINOR_ADM_VIS,EMS_VISITS_URGENT_NOT_ADM,EMS_LOWMODERATE_ADM_VIS,EMS_VISITS_MODERATE_NOT_ADM,EMS_MODERATE_ADM_VIS,EMS_VISITS_SEVERE_NOT_ADM,EMS_SEVERE_WO_THREAT_ADM_VIS,EMS_VISITS_CRITICAL_NOT_ADM,EMS_SEVERE_W_THREAT_ADM_VIS,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS,resp_stat,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,OP_RM_IP_ONLY,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_TOTL,AMB_SURG_PROG,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_LT5LBS_8OZ,BIRTHS_LIVE_LT3LBS_5OZ,ABC_OP_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,CARDIAC_CATH_DX_PROC,MYOCARDIAL_BIOPSY,PACEMKR_PERM_IMPL,OTH_PERM_PACEMAKER_PROC,ICD_IMPLANTATION,OTH_ICD_PROCEDURES,PCI_WITH_STENT,PCI_WITHOUT_STENT,ATHERECTOMY_PTCRA,THROMBO_AGT,PTBV,DX_EP_STUDY,CATHETER_ABLATION,PERIPHERAL_VASCULAR_ANGIOGRAPHY,PERIPHERAL_VASCULAR_INTERVENTION,CAROTID_STENTING,INTRA_AORTIC_BALLOON_PUMP_INS,CATHETER_BASED_VENTRICULAR_INS,OTHR_CATH_PROC,CATH_TOTL,EQUIP_ACQ_OVER_500K,Include_State_hospital,bed_size_range,TYPE_CNTRL_R1,EMS_Basic,EMS_Comp,EMS_Standby,EMS_GAC_None,EMSA_ADULT,Level_I_Trauma,Level_II_Trauma,Level_III_Trauma,Level_IV_Trauma,EMSA_PED,Level_I_ped,Level_II_ped,Level_III_ped,Level_IV_ped,EMSA_Trauma,EMSA_EITHER,non_emsa,level_I_visit,level_II_visit,level_III_visit,level_IV_visit,non_emsa_visit,MINOR_TOT,LOWM_TOT,MOD_TOT,SEV_WO_TOT,SEV_WT_TOT,unknown_sev,MSSA_DESIGNATION,MSSA_NAME,oshpd_id2,HSP_IP_Pal_CARE_PROG_OFFERED,HSP_IP_Pal_CARE_PROG_NURSES,HSP_IP_Pal_CARE_PROG_NURSES_CERT,HSP_IP_Pal_CARE_PROG_PHYSICIAN,HSP_IP_Pal_CARE_PROG_PHYSICIAN_C,HSP_IP_Pal_CARE_PROG_SOCIAL_WORK,HSP_IP_Pal_CARE_PROG_CHAPLAINS,HSP_OUTPATIENT_PAL_CARE_SERV_OFF
106010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,510-522-3700,Yes,01/01/2012,12/31/2012,Open,01/01/1946,01/01/1946,,NO,16,9,13,6001428500,2e,,05 - East Bay,Alameda,140000002,Parent Facility,-122.25362,37.762953,General Acute Care,District,General Medical / Surgical,204,49104,2619,9457,0,0,0,0,0,0,0,0,8,2928,0,0,0,8,2928,183,370,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,54960,2802,11107,0,0,0,0,0,0,0,0,181,66246,204,,34966,0,0,0,0,0,0,0,0,401,121206,3006,46073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,480,3,2291,2,6855,35,3507,1316,1184,1348,14317,2704,17021,12,0,256,Yes,3,7,4,2,0,2,2,0,3,0,0,6,29,Respondent,504,43099,1475,74637,0,1,5,6,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,300 - 499,District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,17021,483,2293,6890,4823,2532,,Urban,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,106010735,No,0,0,0,0,0,0,No
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,510-204-4444,Yes,01/01/2012,12/31/2012,Open,01/02/1946,01/02/1946,,NO,14,9,9,6001423902,2b,,05 - East Bay,Alameda,140000004,Parent Facility,-122.25784,37.85633,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,146,53436,7896,34109,116,42456,7932,24643,0,0,0,0,16,5856,260,966,4354,14,5124,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20130,915,240,14807,0,0,0,0,347,127002,17003,77913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,127002,17003,77913,0,0,0,0,0,0,80,6441,14239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,635,1,3902,11,13596,69,12112,922,5121,4692,35366,5695,41061,22,0,1139,Yes,4,2,1,0,0,0,0,0,2,0,0,0,9,Respondent,3121,394287,4338,321180,0,0,13,13,Yes,7236,615,148,Yes,YES,,5401,1830,CATH LAB,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,6,4,15,0,0,4,6,6,8,0,0,0,0,0,4,4,0,0,0,0,0,0,32,Yes,No,300 - 499,Non-Profit Corporation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,41061,636,3913,13665,13034,9813,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010739,Yes,1,1,2,2,2,2,No
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,510-428-3000,Yes,01/01/2012,12/31/2012,Open,01/01/1946,01/01/1946,Level I - Pediatric,NO,16,9,9,6001401000,2c,,05 - East Bay,Alameda,140000015,Parent Facility,-122.26747,37.83722,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,0,0,0,0,0,0,0,0,111,40626,9108,32363,23,8418,581,1254,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16104,400,384,9242,12,4392,101,3124,190,69540,10190,50569,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,190,69540,10190,50569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,200,0,6173,17,26481,144,4150,4291,1601,2470,38605,6922,45527,37,0,0,Yes,2,1,3,2,0,0,4,0,0,0,0,0,12,Respondent,3618,472537,5022,295216,0,2,10,12,Yes,0,0,0,,,,0,0,CV SURG,1,103,115,8,0,111,115,0,1,11,13,37,54,0,0,3,1,51,68,51,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,71,125,,No,150 - 199,Non-Profit Corporation,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,45527,,,,,200,6190,26625,8441,4071,,Urban,OAKLAND WEST CENTRAL,106010776,No,0,0,0,0,0,0,No
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,390 FORTIETH STREET,OAKLAND,94609,510-653-5040-339,Yes,01/01/2012,12/31/2012,Open,12/18/1960,12/18/1960,,NO,16,9,9,6001401200,2b,,05 - East Bay,Alameda,140000272,Parent Facility,-122.26021,37.82862,Chemical Dependency Recovery Hospital,Non-Profit Corporation (incl. Church-related),Chemical Dependency (Alcohol/Drug),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18300,176,12966,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,50,18300,176,12966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,50 - 99,Non-Profit Corporation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010782,No,0,0,0,0,0,0,No
106010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,510-727-2700,Yes,01/01/2012,11/30/2012,Closed,10/31/2012,11/08/1954,Level II,NO,18,10,9,6001430900,2f,,05 - East Bay,Alameda,140000030,Parent Facility,-122.08753,37.69871,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,111,33855,7676,26274,11,3355,786,2194,2,610,0,0,17,5185,233,464,3015,11,3355,214,376,2430,0,0,0,0,0,0,0,0,0,0,3,915,137,0,476,0,0,0,0,155,47275,9046,34389,0,0,0,0,23,7015,98,548,0,0,0,,0,0,0,0,0,0,0,0,0,178,54290,9144,34937,0,0,0,0,0,0,11,1017,2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,407,0,2984,1,11337,19,9313,360,9532,4710,33573,5090,38663,16,3391,461,Yes,15,22,16,6,2,3,2,8,10,2,0,0,86,Respondent,1648,155820,1135,113385,6,1,0,7,Yes,1065,37,3,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,Non-Profit Corporation,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,,38663,,,,407,2985,11356,9673,14242,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,106010805,No,0,0,0,0,0,0,No
106010811,ALAMEDA COUNTY MEDICAL CENTER - FAIRMONT CAMPUS,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4800,Yes,01/01/2012,12/31/2012,Open,07/01/1953,07/01/1953,,NO,18,10,9,6001430500,2f,,05 - East Bay,Alameda,140000046,Consolidated Facility,-122.12057,37.70789,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18300,473,7296,50,18300,473,7296,0,0,0,0,0,0,0,0,109,39894,185,,37469,0,0,0,0,0,0,0,0,159,58194,658,44765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,City and/or County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,106010811,No,0,0,0,0,0,0,No
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,510-204-4444,Yes,01/01/2012,12/31/2012,Open,01/01/1946,01/01/1946,,NO,14,9,9,6001422900,2a,,05 - East Bay,Alameda,140000004,Consolidated Facility,-122.26984,37.86373,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15372,802,11849,42,15372,802,11849,0,0,0,0,69,33966,2267,17202,0,7986,23,0,2964,0,0,0,0,0,0,0,0,111,57324,3092,32015,0,0,0,0,0,0,0,0,0,0,40,0,40,9,21,10,40,11,5,6,0,0,4,13,0,0,1,40,Yes,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,100 - 149,Non-Profit Corporation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,,Urban,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,106010844,No,0,0,0,0,0,0,No
106010846,ALAMEDA COUNTY MEDICAL CENTER,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4800,Yes,01/01/2012,12/31/2012,Open,07/01/1953,07/01/1953,Level II,YES,16,9,9,6001405700,2c,,05 - East Bay,Alameda,140000046,Parent Facility,-122.2312,37.79917,General Acute Care,City and/or County,General Medical / Surgical,191,69906,9066,34792,17,6222,1268,3187,0,0,0,0,20,7320,350,956,6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2928,303,84,1371,0,0,0,0,236,86376,10987,45383,0,0,0,0,80,29280,2992,25031,0,0,0,,0,0,0,0,0,0,0,0,0,316,115656,13979,70414,0,0,0,0,0,0,20,866,1839,0,69,0,69,0,67,2,69,13,2,3,27,10,1,1,0,0,12,69,Yes,,,,,Basic,Basic,33969,35,9371,30,10470,47,16308,200,4793,7896,74911,8208,83119,52,0,5308,Yes,37,28,30,30,14,25,28,13,30,39,12,28,314,Respondent,2666,435430,2630,326167,0,0,6,6,Yes,1097,75,7,,,,0,303,NEITHER,0,0,0,0,0,0,0,0,1,0,0,0,0,90,33,109,41,199,74,199,0,0,0,0,0,58,6,0,0,0,0,0,24,49,0,10,0,67,413,,No,300 - 499,City and/or County,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,,83119,,,,34004,9401,10517,16508,12689,,Urban,OAKLAND WEST CENTRAL,106010846,No,0,0,0,0,0,0,No
106010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,510-752-1000,Yes,01/01/2012,12/31/2012,Open,01/01/1946,01/01/1946,,YES,14,9,9,6001404000,2b,,05 - East Bay,Alameda,140000052,Parent Facility,-122.25801,37.82432,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,221,80886,9939,40835,39,14274,2452,6347,33,12078,2092,7917,30,10980,282,1547,5574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6588,254,173,5575,0,0,0,0,341,124806,15019,66248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,124806,15019,66248,0,0,0,0,0,0,31,2070,4117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,14137,22,8696,37,8879,267,12452,2685,2273,3397,46437,6408,52845,32,0,1614,Yes,11,12,0,0,3,4,2,0,0,2,0,9,43,Respondent,5865,1106856,5103,587081,0,0,12,12,,2284,214,47,,,,0,714,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,300 - 499,Non-Profit Corporation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,52845,14159,8733,9146,15137,5670,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010856,Yes,1,1,7,7,1,2,Yes
106010858,KAISER FND HOSP - HAYWARD/FREMONT,27400 HESPERIAN BOULEVARD,HAYWARD,94545,510-784-4000,Yes,01/01/2012,12/31/2012,Open,12/01/1966,12/01/1966,,NO,18,10,13,6001438300,2g,,05 - East Bay,Alameda,140000053,Parent Facility,-122.09338,37.62593,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,128,46848,6139,21161,33,12078,2785,6514,20,7320,685,1448,16,5856,311,1236,4099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5856,197,195,4128,0,0,0,0,213,77958,10117,37350,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,213,77958,10117,37350,0,0,0,0,0,0,20,2494,4365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Basic,Basic,11347,9,8441,19,12203,165,11774,2691,1274,2381,45039,5265,50304,26,0,568,,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,2594,324674,3887,358952,0,0,7,7,,2690,245,43,,,,0,765,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,200 - 299,Non-Profit Corporation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,50304,11356,8460,12368,14465,3655,,Urban,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,106010858,Yes,1,1,2,2,0,1,Yes
