OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_OPER_CURRYR,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,FACILITY_LEVEL,LONGITUDE,LATITUDE,LIC_CAT,LICEE_TOC,TYPE_SVC_PRINCIPAL,MED_SURG_BED_LIC,MED_SURG_LICBED_DAY,MED_SURG_DIS,MED_SURG_CENS_DAY,PERINATL_BED_LIC,PERINATL_LICBED_DAY,PERINATL_DIS,PERINATL_CENS_DAY,PED_BED_LIC,PED_LICBED_DAY,PED_DIS,PED_CENS_DAY,ICU_BED_LIC,ICU_LICBED_DAY,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,CCU_BED_LIC,CCU_LICBED_DAY,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,RESP_BED_LIC,RESP_LICBED_DAY,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,BURN_BED_LIC,BURN_LICBED_DAY,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,NICU_BED_LIC,NICU_LICBED_DAY,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,REHAB_BED_LIC,REHAB_LICBED_DAY,REHAB_DIS,REHAB_CENS_DAY,GAC_BED_LIC_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_LICBED_DAY,CHEM_DIS,CHEM_CENS_DAY,PSY_BED_LIC,PSY_LICBED_DAY,PSY_DIS,PSY_CENS_DAY,SN_BED_LIC,SN_LICBED_DAY,SN_DIS,SN_TFR_INHOSP,SN_CENS_DAY,IC_BED_LIC,IC_LICBED_DAY,IC_DIS,IC_CENS_DAY,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,HOSP_BED_LIC_TOTL,HOSP_LICBED_DAY_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,CHEM_GAC_BED_LIC,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_PSY_BED_LIC,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,NEWBORN_NURSRY_CENS_DAY,BED_SWING_SN,PSY_LCK_CENS_PATIENT,PSY_OPN_CENS_PATIENT,PSY_CENS_PATIENT_TOTL,PSY_CENS_PATIENT_LE17,PSY_CENS_PATIENT_18_64,PSY_CENS_PATIENT_EQ65,PSY_CENS_PATIENT_TOTL_1,PSY_CENS_PATIENT_MCAR,PSY_CENS_PATIENT_MNG_MCAR,PSY_CENS_PATIENT_MCAL,PSY_CENS_PATIENT_MNG_MCAL,PSY_CENS_PATIENT_CO_INDIG,PSY_CENS_PATIENT_OTHR_THIRDPTY,PSY_CENS_PATIENT_MNG_OTHR_THIRDP,PSY_CENS_PATIENT_SHDOYL,PSY_CENS_PATIENT_OTHR_INDIG,PSY_CENS_PATIENT_OTHR_PAYER,PSY_CENS_PATIENT_TOTL_2,PSY_PROG_SHDOYL,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,OUTPATIENT_Pal_CARE_SERV_OFFERED,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_VISITS_NON_URGENT_NOT_adm,EMS_VISITS_NON_URGENT_adm,EMS_VISITS_URGENT_NOT_adm,EMS_VISITS_URGENT_adm,EMS_VISITS_MODERATE_NOT_adm,EMS_VISITS_MODERATE_adm,EMS_VISITS_SEVERE_NOT_adm,EMS_VISITS_SEVERE_adm,EMS_VISITS_CRITICAL_NOT_adm,EMS_VISITS_CRITICAL_adm,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS,resp_stat,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,OP_RM_IP_ONLY,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_TOTL,AMB_SURG_PROG,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_LT5LBS_8OZ,BIRTHS_LIVE_LT3LBS_5OZ,ABC_OP_PROG,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,CARDIAC_CATH_DX_PROC,MYOCARDIAL_BIOPSY,PACEMKR_PERM_IMPL,OTH_PERM_PACEMAKER_PROC,ICD_IMPLANTATION,OTH_ICD_PROCEDURES,PCI_WITH_STENT,PCI_WITHOUT_STENT,ATHERECTOMY_PTCRA,THROMBO_AGT,PTBV,DX_EP_STUDY,CATHETER_ABLATION,PERIPHERAL_VASCULAR_ANGIOGRAPHY,PERIPHERAL_VASCULAR_INTERVENTION,CAROTID_STENTING,INTRA_AORTIC_BALLOON_PUMP_INS,CATHETER_BASED_VENTRICULAR_INS,OTHR_CATH_PROC,CATH_TOTL,EQUIP_ACQ_OVER_500K,Include_State_hospital,bed_size_range,TYPE_CNTRL_R1,EMS_Basic,EMS_Comp,EMS_Standby,EMS_GAC_None,EMSA_ADULT,Level_I_Trauma,Level_II_Trauma,Level_III_Trauma,Level_IV_Trauma,EMSA_PED,Level_I_ped,Level_II_ped,Level_III_ped,Level_IV_ped,EMSA_Trauma,EMSA_EITHER,non_emsa,level_I_visit,level_II_visit,level_III_visit,level_IV_visit,non_emsa_visit,MINOR_TOT,LOWM_TOT,MOD_TOT,SEV_TOT,CRIT_TOT,unknown_sev,abc_ldrp1,abc_ldr1,ems_amb_divers1,MSSA_DESIGNATION,MSSA_NAME,oshpd_id2,,,,,,
106010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,510-522-3700,Yes,01/01/2013,12/31/2013,Open,01/01/1946,01/01/1946,,NO,18,9,13,6001428500,2e,,05 - East Bay,Alameda,140000002,Parent Facility,-122.25362,37.762953,General Acute Care,District,General Medical / Surgical,84,30660,2575,9853,0,0,0,0,0,0,0,0,8,2920,0,0,0,8,2920,172,185,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,36500,2747,11520,0,0,0,0,0,0,0,0,181,66065,279,,60538,0,0,0,0,0,0,0,0,281,102565,3026,72058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,No,Basic,Basic,561,1,2089,1,6657,31,3598,1046,1389,1509,14294,2588,16882,12,0,223,Yes,2,0,36,7,1,0,2,5,13,1,4,8,79,Respondent,568,56334,1477,81457,0,1,5,6,,0,0,0,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,200 - 299,District,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16882,562,2090,6688,4644,2898,0,,,1,Urban,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,106010735,,,,,,
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,510-204-4444,Yes,01/01/2013,12/31/2013,Open,01/02/1946,01/02/1946,,NO,15,9,13,6001423902,2b,,05 - East Bay,Alameda,140000004,Parent Facility,-122.25784,37.85633,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,146,53290,7548,34705,116,42340,7648,23080,0,0,0,0,16,5840,272,883,4825,14,5110,0,0,0,0,0,0,0,0,0,0,0,0,0,55,20075,960,272,13214,0,0,0,0,347,126655,16428,75824,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,347,126655,16428,75824,0,0,0,0,0,0,80,6250,10858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,No,Basic,Basic,706,7,5861,3,12375,18,13006,751,6981,4404,38929,5183,44112,22,0,897,Yes,8,2,2,6,0,0,0,5,5,7,0,8,43,Respondent,2812,357750,4197,325419,0,0,13,13,Yes,7071,661,114,Yes,5207,1859,CATH LAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44112,713,5864,12393,13757,11385,0,,1,1,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010739,,,,,,
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,510-428-3000,Yes,01/01/2013,12/31/2013,Open,01/01/1946,01/01/1946,Level I - Pediatric,NO,15,9,13,6001401000,2c,,05 - East Bay,Alameda,140000015,Parent Facility,-122.26747,37.83722,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,0,0,0,0,0,0,0,0,111,40515,9138,30161,23,8395,572,1243,5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16060,484,580,8916,12,4380,95,2902,190,69350,10289,47691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,69350,10289,47691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,No,Basic,Basic,1965,363,9542,125,22748,1117,3136,3364,1259,1929,38650,6898,45548,37,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,3442,423660,5087,342960,0,2,10,12,Yes,0,0,0,,0,0,CV SURG,1,117,21,10,0,127,21,0,1,48,55,0,0,8,2,0,0,56,57,56,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,55,121,,No,150 - 199,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,45548,0,0,0,0,2328,9667,23865,6500,3188,0,,,,Urban,OAKLAND WEST CENTRAL,106010776,,,,,,
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,390 FORTIETH STREET,OAKLAND,94609,510-653-5040,Yes,01/01/2013,12/31/2013,Open,12/18/1960,12/18/1960,,NO,18,9,13,6001401200,2b,,05 - East Bay,Alameda,140000272,Parent Facility,-122.26021,37.82862,Chemical Dependency Recovery Hospital,Non-Profit Corporation (incl. Church-related),Chemical Dependency (Alcohol/Drug),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,141,13406,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,50,18250,141,13406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,50 - 99,Non-Profit Corporation (i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010782,,,,,,
106010811,ALAMEDA COUNTY MEDICAL CENTER - FAIRMONT CAMPUS,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4800,Yes,01/01/2013,12/31/2013,Open,07/01/1953,07/01/1953,,NO,20,10,15,6001430500,2f,,05 - East Bay,Alameda,140000046,Consolidated Facility,-122.12057,37.70789,General Acute Care,City and/or County,Long-Term Care (SN/IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18250,399,6596,50,18250,399,6596,0,0,0,0,0,0,0,0,109,39785,140,0,35712,0,0,0,0,0,0,0,0,159,58035,539,42308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,150 - 199,City and/or County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,106010811,,,,,,
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,510-204-4444,Yes,01/01/2013,12/31/2013,Open,01/01/1946,01/01/1946,,NO,15,9,13,6001422900,2a,,05 - East Bay,Alameda,140000004,Consolidated Facility,-122.26984,37.86373,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15330,793,11729,42,15330,793,11729,0,0,0,0,69,25185,2085,16121,0,0,0,,0,0,0,0,0,0,0,0,0,111,40515,2878,27850,0,0,0,0,0,0,0,0,0,0,31,0,31,6,21,4,31,7,2,7,1,0,0,14,0,0,0,31,Yes,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,0,0,0,0,0,0,0,0,,0,0,0,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,100 - 149,Non-Profit Corporation (i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Urban,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,106010844,,,,,,
106010846,ALAMEDA COUNTY MEDICAL CENTER,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4800,Yes,01/01/2013,12/31/2013,Open,07/01/1953,07/01/1953,Level II,YES,18,9,13,6001405700,2c,,05 - East Bay,Alameda,140000046,Parent Facility,-122.2312,37.79917,General Acute Care,City and/or County,General Medical / Surgical,191,69715,8809,36423,17,6205,1189,3047,0,0,0,0,20,7300,369,983,6484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2920,308,157,1225,0,0,0,0,236,86140,10675,47179,0,0,0,0,80,29200,2909,25013,0,0,0,,0,0,0,0,0,0,0,0,0,316,115340,13584,72192,0,0,0,0,0,0,20,881,1909,0,69,0,69,0,66,3,69,12,1,0,27,16,3,1,5,0,4,69,Yes,,,,,No,Basic,Basic,36581,48,10973,51,12075,63,17457,357,5371,9102,82457,9621,92078,52,0,5879,Yes,22,30,32,23,27,34,32,39,30,40,45,26,380,Respondent,2662,437907,2967,370293,0,0,6,6,Yes,1327,107,11,,0,289,CATH LAB,0,0,0,0,0,0,0,0,1,0,0,0,0,122,24,250,108,372,132,240,0,0,0,0,0,124,8,0,0,0,0,0,71,60,0,11,0,67,581,,No,300 - 499,City and/or County,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,92078,0,0,0,36629,11024,12138,17814,14473,0,,,1,Urban,OAKLAND WEST CENTRAL,106010846,,,,,,
106010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND,94611-5693,510-752-1000,Yes,01/01/2013,12/31/2013,Closed,06/30/2014,01/01/1946,,YES,15,9,13,6001404000,2b,,05 - East Bay,Alameda,140000052,Parent Facility,-122.25792,37.82425,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,221,80665,9798,39433,39,14235,2377,6065,33,12045,2004,7375,30,10950,278,1423,4092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6570,245,139,4667,0,0,0,0,341,124465,14702,61632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,124465,14702,61632,0,0,0,0,0,0,31,1999,3926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Yes,Basic,Basic,15213,4,8818,61,8876,385,12124,2789,2900,3299,47931,6538,54469,32,0,224,Yes,15,10,10,8,0,10,6,9,4,0,2,2,76,Respondent,5714,1061801,5489,648575,0,0,12,12,,2204,201,40,Yes,1465,739,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,300 - 499,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54469,15217,8879,9261,14913,6199,0,,1,1,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,106010856,,,,,,
106010858,KAISER FND HOSP - HAYWARD/FREMONT,27400 HESPERIAN BOULEVARD,HAYWARD,94545,510-784-4000,Yes,01/01/2013,12/31/2013,Closed,06/02/2014,12/01/1966,,NO,20,10,15,6001438300,2g,,05 - East Bay,Alameda,140000053,Parent Facility,-122.09338,37.62593,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,128,46720,5402,19443,33,12045,2679,6397,20,7300,403,944,16,5840,258,1130,3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5840,192,148,3475,0,0,0,0,213,77745,8934,34021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,77745,8934,34021,0,0,0,0,0,0,20,2431,4436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Yes,Basic,Basic,12522,3,7973,8,12777,159,11338,2055,2119,2352,46729,4577,51306,26,0,163,No,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,2478,298921,4048,389832,0,0,7,7,,2621,203,40,Yes,1784,837,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,200 - 299,Non-Profit Corporation (i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51306,12525,7981,12936,13393,4471,0,,1,,Urban,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,106010858,,,,,,
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,SAN LEANDRO,94577,510-357-8300,Yes,01/01/2013,12/31/2013,Open,11/13/1962,11/13/1962,,NO,18,9,13,6001432800,2f,,05 - East Bay,Alameda,140000066,Parent Facility,-122.13119,37.71621,General Acute Care,Investor - Corporation,General Medical / Surgical,89,32485,424,16970,0,0,0,0,0,0,0,0,10,3650,103,232,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,36135,527,19181,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,99,36135,527,19181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,Respondent,155,12900,0,0,2,0,0,2,,0,0,0,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,50 - 99,Investor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,106010887,,,,,,
