fac_no,fac_name,beg_date,end_date,day_per,data_ind,audit_ind,county,hsa,hfpa,type_cntrl,type_care,type_hosp,teach_rurl,phone,address,city,zip_code,ceo,ceo_title,rpt_prep,owner,er_desig,mcar_pro,mcal_pro,reg_mcal,bed_lic,bed_avl,bed_stf,day_mcar_tr,day_mcar_mc,day_mcal_tr,day_mcal_mc,day_cnty,day_thrd_tr,day_thrd_mc,day_oth_ind,day_oth,day_tot,dis_mcar_tr,dis_mcar_mc,dis_mcal_tr,dis_mcal_mc,dis_cnty,dis_thrd_tr,dis_thrd_mc,dis_oth_ind,dis_oth,dis_tot,bed_acute,bed_psych,bed_chem,bed_rehab,bed_ltc,bed_resdnt,day_acute,day_psych,day_chem,day_rehab,day_ltc,day_resdnt,dis_acute,dis_psych,dis_chem,dis_rehab,dis_ltc,dis_resdnt,occ_lic,occ_avl,alos_all,alos_exltc,bas_nursry,day_nursry,dis_nursry,vis_mcar_tr,vis_mcar_mc,vis_mcal_tr,vis_mcal_mc,vis_cnty,vis_thrd_tr,vis_thrd_mc,vis_oth_ind,vis_oth,vis_tot,vis_er,vis_clin,vis_home,vis_ref_op,day_pips,op_room,op_min_ip,op_min_op,surg_ip,surg_op,ct_scans,gr_pt_rev,ded_fr_rev,tot_cap_rev,net_pt_rev,oth_op_rev,tot_op_exp,net_frm_op,nonop_rev,nonop_exp,inc_tax,ext_item,net_income,gr_rev_dly,gr_rev_amb,gr_rev_anc,gr_ip_mcar_tr,gr_ip_mcar_mc,gr_ip_mcal_tr,gr_ip_mcal_mc,gr_ip_cnty,gr_ip_thrd_tr,gr_ip_thrd_mc,gr_ip_oth_ind,gr_ip_oth,gr_ip_tot,gr_op_mcar_tr,gr_op_mcar_mc,gr_op_mcal_tr,gr_op_mcal_mc,gr_op_cnty,gr_op_thrd_tr,gr_op_thrd_mc,gr_op_oth_ind,gr_op_oth,gr_op_tot,c_adj_mcar_tr,c_adj_mcar_mc,c_adj_mcal_tr,c_adj_mcal_mc,disp_855,c_adj_cnty,c_adj_thrd_tr,c_adj_thrd_mc,bad_debt,char_hb,char_oth,sub_indgnt,ded_oth,cap_rev_mcar,cap_rev_mcal,cap_rev_cnty,cap_rev_thrd,netrv_mcar_tr,netrv_mcar_mc,netrv_mcal_tr,netrv_mcal_mc,netrv_cnty,netrv_thrd_tr,netrv_thrd_mc,netrv_oth_ind,netrv_oth,disp_trnfr,inter_tfr,contribtns,inc_invest,dist_rev,cnty_appro,exp_dly,exp_amb,exp_anc,exp_pip,exp_pop,exp_res,exp_ed,exp_gen,exp_fisc,exp_adm,exp_unassg,exp_sal,exp_ben,exp_phys,exp_othpro,exp_supp,exp_purch,exp_depre,exp_leases,exp_insur,exp_intrst,exp_oth,cur_asst,asst_limtd,net_ppe,const_prog,inv_oth,intan_asst,tot_asst,cur_liab,def_cred,net_ltdebt,equity,liab_eq,cash,bldgs,equipment,tot_ppe,acc_depre,mort_pay,cap_lease,bond_pay,tot_ltdebt,cur_mat,inter_rec,inter_pay,hosp_emp,hosp_fte,nurs_emp,prod_hrs,non_prd_hr,paid_hrs,med_staff,stdnt_fte,prd_hr_mgt,prd_hr_tch,prd_hr_rn,prd_hr_lvn,prd_hr_aid,prd_hr_clr,prd_hr_env,prd_hr_oth,cnt_hr_rn,cnt_hr_oth,prd_hr_dly,prd_hr_amb,prd_hr_anc,prd_hr_ed,prd_hr_gen,prd_hr_fis,prd_hr_adm,prd_hr_non,pd_hr_dly,pd_hr_amb,pd_hr_anc,pd_hr_ed,pd_hr_gen,pd_hr_fis,pd_hr_adm,pd_hr_non,ii,year
106431013,agnews state hospital,7/1/2002,6/30/2003,365,audited,excl. ind. audit,santa clara,07,0431,state,specialty,state,,(408)451-6000,3500 zanker road,san jose,95114,harold pitacford,director,della  d. coloma,state of california,0,05-0662,,,919,919,432,515,0,160161,0,0,11,0,0,1536,162223,0,0,54,0,0,0,0,0,0,54,24,0,0,0,895,0,1715,0,0,0,160508,0,0,0,0,0,54,0,48.4,48.4,3004.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115249771,16771865,0,98477906,0,115249771,-16771865,16771865,0,0,0,0,108022414,0,7227357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517738,0,390489,0,0,0,0,0,0,0,0,0,15863638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2003
106010846,alameda county medical center,7/1/2002,6/30/2003,365,audited,excl. ind. audit,alameda,05,0417,city/county,general,comparable,teaching,(510)534-8055,1411 east 31st street,oakland,94602-1018,kenneth cohen,ceo,denise warmsley,county of alameda,2,05-0320,hsc00320g,zzr00320f,475,399,399,11637,307,77556,5249,6660,3688,1502,8156,1505,116260,1577,99,6151,982,1518,846,259,1335,268,13035,236,80,0,46,113,0,42994,27628,0,8399,37239,0,9147,3454,0,355,79,0,67.09999999999999,79.8,8.9,6.1,20,2883,1196,30422,530,83160,18909,98311,11700,217,18551,830,262630,63659,162806,0,46551,362,9,348717,169689,2105,1181,0,497518137,128248903,0,369269234,7577403,317741751,59104886,6492714,484121,0,0,65113479,255606979,57001534,184909624,45652007,1713506,211889955,20962854,34842507,16918285,3871625,30834587,4950236,371635562,15259138,294250,34182610,8101204,52391615,6081116,83508,9075187,413947,125882575,33033042,28660,82787423,20331361,-92894378,22462694,15259732,2456716,5076376,0,33740432,0,5966845,0,0,0,0,25484641,1979096,256179520,8732697,64771428,6835869,1498417,1330847,2456719,100773566,-644206,0,923156,0,5540326,59191392,44409112,49084203,3712729,0,0,24316454,58410402,20080755,44077837,14458867,147092875,45465885,25855694,21778004,25565378,23195328,8929532,1400131,2132958,3948739,12377227,136720233,0,77126971,4578218,0,0,218425422,223770080,0,12162145,-17506803,218425422,18560985,94321257,64020845,162491863,85364892,11672675,1390035,0,13062710,900565,0,0,2895,2288,941,4115528,855481,4971009,384,125,255631,929022,672127,219461,299679,698366,380348,449406,190635,20853,1106325,743102,520191,268631,831476,269781,376022,0,1292554,876039,653757,292774,988579,332237,535069,0,,2003
106010735,alameda hospital,11/1/2002,6/30/2003,242,audited,incl. ind. audit,alameda,05,0417,district,general,comparable,,(510)814-4000,2070 clinton avenue,alameda,94501-4320,david d. o'neill,ceo,stephen shahbazian,alameda hospital,0,05-0211,hsc00211f,,135,135,135,6114,1065,3217,537,0,1351,1284,0,139,13707,1132,239,198,72,0,225,288,0,34,2188,100,0,0,0,35,0,8672,0,0,0,5035,0,2121,0,0,0,67,0,42,42,6.3,4.1,0,0,0,7121,861,2170,1838,0,5361,6066,0,2767,26184,11394,0,0,17198,0,16,112256,68523,893,1039,3611,132539100,105060316,0,27478784,74523,31113194,-3559887,5926504,113296,0,0,2253321,43002193,7446212,82090695,44853298,9658929,13732108,3466829,0,10786179,14725645,0,1363981,98586969,9988487,1145449,2314932,1659029,0,8302335,8026328,0,2515571,33952131,42959022,9106069,11706615,2912930,0,0,15488065,14862104,1663272,0,1651852,0,4710387,0,0,0,0,9118818,1114160,2552268,1583813,0,2937018,7528030,0,2644677,0,-1942334,83385,26924,5615650,0,7933423,1752653,9155425,0,0,0,0,5097410,2251505,4013466,909312,13076575,6832020,503236,2193895,3594306,2205317,1307985,260730,211856,0,927274,10192200,228307,8912006,133556,7722943,0,27189012,6147515,0,0,21041497,27189012,557053,25476668,9179038,35199522,26287516,0,0,0,0,0,0,0,336,359,145,447004,74246,521250,195,0,36533,71299,103416,7838,38826,90875,48155,23215,14853,11994,131630,24055,107980,0,85428,42846,55065,0,153638,27413,127043,0,98484,48184,66488,0,,2003
106190017,alhambra hospital - alhambra,7/1/2002,6/30/2003,365,audited,excl. ind. audit,los angeles,11,0913,investor,general,comparable,,(626)570-1606,100 south raymond avenue,alhambra,91802,david chu,ceo,robert c. perkins,alhambra limited partnership,0,05-0281,hsc30281f,,144,144,144,19634,1195,13495,339,0,95,1365,709,2889,39721,2232,327,938,91,0,18,334,10,212,4162,101,0,0,17,26,0,25863,0,0,4429,9429,0,3892,0,0,258,12,0,75.59999999999999,75.59999999999999,9.5,7.3,0,0,0,5734,1857,2309,3116,0,374,5368,196,2267,21221,13110,0,0,6282,0,5,96612,154975,543,4294,3798,107181673,57059699,3844493,53966467,464160,47687021,6743606,234303,96671,0,0,6881238,33744992,2679368,70757313,49001013,3484416,25523805,1419506,0,303543,4023643,479730,3410682,87646338,7434354,1346070,2619972,1269740,0,742238,5081967,106926,934068,19535335,22608164,2895531,14950226,1936974,-1458641,0,716708,8654109,1907049,0,2697274,0,2152305,2699445,1059190,0,85858,33827203,4634400,12541574,1811462,0,329073,537359,0,285396,0,0,0,232493,0,0,12785355,1777783,13297293,0,0,0,0,7271969,1490531,8466992,2597098,17855478,2861284,616000,4240521,6805629,9623024,868576,2157063,589434,83235,1986777,21762882,0,0,0,0,1035761,22798643,17059004,0,0,5739639,22798643,14913021,0,0,0,0,0,0,0,0,0,0,0,556,406,248,865647,59369,925016,281,0,41187,174557,184851,54836,102996,180547,45576,0,35582,45515,367477,28534,186146,0,138722,65172,79596,0,391695,29547,199312,0,147147,71016,86299,0,,2003
106010739,alta bates summit med ctr-alta bates cam,1/1/2003,12/31/2003,365,audited,incl. ind. audit,alameda,05,0415,non-profit,general,comparable,,(510)204-4444,2450 ashby avenue,berkeley,94705,robert petrina,cfo,bharatha naotunne,sutter health,0,05-0305,hsc00305f,zzr00305f,543,509,509,34695,7751,43349,5082,151,50837,6054,472,855,149246,4528,1344,3401,981,13,11420,1489,107,250,23533,337,105,0,42,59,0,94087,26001,0,10643,18515,0,19637,3203,0,613,80,0,75.3,80.3,6.3,5.6,35,13315,6760,85256,22165,19837,6569,71,177304,34409,831,10968,357410,43706,34909,0,212658,0,12,658491,606810,6491,11337,11393,1423680340,1071551034,41975740,394105046,9164595,377710594,25559047,3900459,3747693,0,0,25711813,548522636,47157069,828000635,243050671,63660335,265580802,39913813,921919,410692872,59629947,4195663,7440757,1095086779,83241909,22648727,21955487,8213397,76260,155341800,29187634,887778,7040569,328593561,224648286,82104058,248948918,34559105,0,864225,374331640,84127193,16884168,0,5083441,0,0,21673968,0,0,20301772,99241452,25878972,38587371,13568105,133954,191703032,24992160,0,0,0,0,0,2002014,0,0,91930365,12411016,141629362,0,0,158430,0,52651075,11942369,50621739,16366238,121184079,73811170,6222408,15492676,41722230,88366297,13642383,1284991,5091782,3117094,7775484,92585583,10709324,99688948,8041525,4802383,1723178,217550941,46534561,2130907,118330056,50555417,217550941,10558811,172426556,147124011,331847484,232158536,0,360221,120460835,120821056,2491000,8683166,0,2405,2004,833,3738190,706426,4444616,534,0,199459,866194,994515,132012,286479,640904,336412,5492,178983,97740,1418372,195939,1009089,3007,659792,143691,308300,0,1740982,225488,1176263,3241,775158,168849,354635,0,,2003
106010937,alta bates summit med ctr-summit-hawthor,1/1/2003,12/31/2003,365,audited,incl. ind. audit,alameda,05,0417,non-profit,general,comparable,,(510)655-4000,350 hawthorne avenue,oakland,94609-3108,warren kirk,ceo,bharatha naotunne,sutter health,0,05-0043,hsc00043f,,524,413,279,39855,6734,18813,5808,0,1509,27049,1287,157,101212,7315,1249,3369,1905,0,316,5604,382,58,20198,436,17,0,0,71,0,87607,3632,0,0,9973,0,19035,253,0,0,910,0,52.9,67.09999999999999,5,4.7,15,5908,2362,32455,4989,14493,13573,0,4925,64843,861,5362,141501,38782,17527,0,69907,0,20,1535599,663953,6844,4006,11341,1212099177,911886637,0,300212540,24856632,316157342,8911830,4820280,1144122,0,0,12587988,335665186,33873919,842560072,365386879,62184715,159277333,53810420,0,14558004,318279984,10543692,971811,985012838,63483200,11790161,22365831,23143288,0,9448182,91359278,860614,4635785,227086339,310989689,56114255,160312156,66848291,0,0,15037649,284703763,6476528,0,11404306,0,0,0,0,0,0,116120334,17860621,20467767,10105417,0,8968537,122690549,0,3999315,0,-20518703,537925,1115904,0,0,73665138,16286860,104906184,0,0,217786,22597712,48244047,10783337,24741744,14714534,100316940,71795803,8288200,20836332,45593782,34305926,14340637,1621569,3939325,4420571,10698257,86233310,25000176,133476882,3168629,4360122,0,252239119,60666476,0,100934572,90638071,252239119,16351773,285604489,93296471,398602195,265125313,0,0,85795505,105571270,4636698,0,0,1672,1671,618,3270834,528077,3798911,929,2,171830,620729,769811,32499,251173,591586,351533,159100,74712,247861,1033045,140280,813253,251172,652709,161429,218946,0,1213288,159147,940030,285794,760682,183781,256189,0,,2003
106370652,alvarado hospital medical center,6/1/2002,5/31/2003,365,audited,excl. ind. audit,san diego,14,1418,investor,general,comparable,,(619)287-3270,6655 alvarado road,san diego,92120,barry g. weinbaum,ceo,trina k. thorson,tenet healthcare corporation,0,05-0583,hsc30583g,hsp30583g,311,311,311,36445,2631,7368,870,1069,1178,12652,370,2725,65308,4836,592,1211,394,221,293,2688,124,462,10821,231,0,0,50,30,0,49458,0,0,6734,9116,0,9659,0,0,535,627,0,57.5,57.5,6,5.5,9,1285,739,75951,5390,17447,6031,2319,4458,50719,606,16132,179053,20390,76311,17402,67761,0,8,513360,379620,3577,4011,8224,793576924,644176167,5617584,155018341,1307627,127380120,28945848,2432160,3025576,0,0,28352432,152497463,29640280,611439181,318078112,34684975,76199767,13641920,11986872,17803463,150557376,3621206,13264444,639838135,55561159,7135228,13178244,5070626,2371187,5207245,54777534,397086,10040480,153738789,316134174,35124965,67308523,13905666,0,9357892,17128376,154508988,7802343,0,19406618,0,3498622,3989651,0,0,1627933,57426294,10007149,6671173,4481324,5000167,5511869,49165560,0,16754805,0,-2505599,0,0,0,0,27595496,8307816,45546170,0,0,0,0,15758075,7020214,18283639,4868710,46117400,15520632,1126906,5487573,26465095,18624154,3960193,1628181,1967096,27971,6454919,27046379,0,43325117,790084,121607115,72002,192840697,10410926,0,0,182429771,192840697,90266,46489293,47647932,97159352,53834235,0,0,0,0,0,116591167,0,1310,982,755,1904127,229240,2133367,213,0,127237,486858,478413,38115,194031,442034,20269,26480,88032,2658,676115,229923,515460,0,160153,88566,233910,0,767582,258497,576394,0,175054,98963,256877,0,,2003
106370652,alvarado hospital medical center,6/1/2003,12/31/2003,214,audited,excl. ind. audit,san diego,14,1418,investor,general,comparable,,(619)287-3270,6655 alvarado road,san diego,92120,mark palmer,ceo,trina k. thorson,tenet healthcare corporation,0,05-0583,hsc30583g,hsp30583g,311,291,291,19935,1593,4012,404,776,431,6326,317,1140,34934,2734,309,612,59,139,71,1049,121,421,5515,231,0,0,50,30,0,25805,0,0,4157,4972,0,4798,0,0,354,363,0,52.5,56.1,6.3,5.8,0,0,0,42953,2782,8541,3468,1149,1630,29298,412,9393,99626,12617,40166,11404,37203,0,8,261600,213360,1802,2300,5085,428532050,349930681,2816492,81417861,638160,73804121,8251900,1548300,1770454,0,0,8029746,76939727,19069904,332522419,174388753,18772160,41820833,3981526,7578291,5107977,76606145,2874363,9962595,341092643,32892315,2996728,7188606,3275360,1190808,2004633,31505905,249976,6135076,87439407,175683556,19145561,40631359,5686546,0,4568613,5573491,85446526,4396078,0,7749497,0,1049454,2087311,0,0,729181,31482774,4431302,3723908,1443155,4200486,1383918,22000611,0,12751707,0,-2325526,0,0,0,0,14106477,5094875,26305890,0,0,0,0,9594753,4915603,10448408,3338115,26074043,9473330,427876,3355594,14351913,11540317,2297587,992517,1626826,626,3663492,31266695,0,43988674,478136,121934261,87044,197754810,9620819,0,0,188133991,197754810,0,47344085,42691326,94254745,50266071,0,0,0,0,0,116727883,0,1230,980,627,1107321,131589,1238910,182,0,71581,292074,279057,22231,113135,257723,11923,15538,41159,2900,387034,133184,306012,0,92022,51619,137450,0,440386,149852,339140,0,101002,57682,150848,0,,2003
106370749,alvarado parkway institute bhs,6/26/2003,12/31/2003,189,audited,excl. ind. audit,san diego,14,1422,investor,psychiatric,comparable,,(619)465-4411,7050 parkway drive,la mesa,91941-1535,phyllis meagher,ceo,jackie brewer-brown,helix healthcare,0,05-4075,,hsp34075g,64,64,52,5604,73,188,0,0,0,3234,0,991,10090,592,8,20,0,0,0,323,0,118,1061,0,52,12,0,0,0,0,10090,0,0,0,0,0,1061,0,0,0,0,83.40000000000001,83.40000000000001,9.5,9.5,0,0,0,3488,833,116,0,0,0,565,0,780,5782,0,0,0,0,0,0,0,0,0,0,0,11728747,5555659,0,6173088,7788,5941785,239091,81748,93325,0,0,227514,7742274,2313327,1673146,5255750,76215,174767,0,0,0,2951774,0,937421,9395927,1420432,338016,47504,0,0,0,228594,0,298274,2332820,3157591,3468,11356,0,0,0,0,1975653,223697,0,0,0,183894,0,0,0,0,3518591,410763,210915,0,0,0,1204715,0,828104,0,0,0,0,0,0,1526531,342500,436182,0,0,0,0,1137569,563531,1213592,721880,2763594,621254,0,355901,382071,805614,122111,369574,66028,208098,247540,5195678,0,1506556,0,0,584165,7286399,6858885,0,0,427514,7286399,93888,1345099,529565,1874664,368108,0,0,0,0,0,0,790270,175,122,64,138320,6190,144510,83,0,15815,28257,13593,11180,25309,18659,12028,0,11567,1912,56419,13463,9546,0,25873,13842,17239,1938,58226,13884,9751,0,26804,15735,18109,2001,,2003
106370749,alvarado parkway institute bhs,1/1/2003,6/25/2003,176,audited,excl. ind. audit,san diego,14,1422,investor,psychiatric,comparable,,(619)465-4411,7050 parkway drive,la mesa,91941-1535,phyllis meagher,ceo,jackie brewer-brown,parkway operating company  inc,0,05-4075,,hsp34075g,64,64,52,5030,89,71,0,0,0,3471,0,574,9235,510,8,7,0,0,0,347,0,62,934,0,52,12,0,0,0,0,9235,0,0,0,0,0,934,0,0,0,0,82,82,9.9,9.9,0,0,0,3381,28,0,0,0,0,3320,0,154,6883,0,0,0,0,0,0,0,0,0,0,0,9935786,4613242,0,5322544,9896,5236035,96405,84142,104178,0,0,76369,6314510,2138600,1482676,4239591,76995,60186,0,0,0,2932887,0,474490,7784149,1054676,8722,0,0,0,0,1040389,0,47850,2151637,2552210,4325,36381,0,0,0,0,1556666,130069,0,0,0,333591,0,0,0,0,2742057,81392,23805,0,0,0,2416610,0,58680,0,0,0,0,0,0,1372518,337852,372297,0,0,0,0,887717,506130,1116656,642865,2766335,402375,0,524238,316185,358217,56813,411487,116188,21344,262853,2642106,0,655185,0,0,0,3297291,2899222,0,0,398069,3297291,523311,0,496071,959538,304353,0,0,0,949108,949108,0,0,185,147,59,135023,20391,155414,83,0,17814,25138,16606,11711,27018,14168,11644,3196,4229,3499,58369,11589,6272,0,24371,14410,20012,0,64734,13268,7290,0,27388,18527,24207,0,,2003
