fac_no,fac_name,beg_date,end_date,day_per,data_ind,audit_ind,county,hsa,hfpa,type_cntrl,type_care,type_hosp,teach_rurl,phone,address,city,zip_code,ceo,ceo_title,web_site,owner,rpt_prep,org_name,er_desig,mcar_pro,mcal_pro,reg_mcal,bed_lic,bed_avl,bed_stf,day_mcar_tr,day_mcar_mc,day_mcal_tr,day_mcal_mc,day_cnty,day_thrd_tr,day_thrd_mc,day_oth_ind,day_oth,day_tot,dis_mcar_tr,dis_mcar_mc,dis_mcal_tr,dis_mcal_mc,dis_cnty,dis_thrd_tr,dis_thrd_mc,dis_oth_ind,dis_oth,dis_tot,bed_acute,bed_psych,bed_chem,bed_rehab,bed_ltc,bed_resdnt,day_acute,day_psych,day_chem,day_rehab,day_ltc,day_resdnt,dis_acute,dis_psych,dis_chem,dis_rehab,dis_ltc,dis_resdnt,occ_lic,occ_avl,alos_all,alos_exltc,bas_nursry,day_nursry,dis_nursry,vis_mcar_tr,vis_mcar_mc,vis_mcal_tr,vis_mcal_mc,vis_cnty,vis_thrd_tr,vis_thrd_mc,vis_oth_ind,vis_oth,vis_tot,vis_er,vis_clin,vis_home,vis_ref_op,day_pips,op_room,op_min_ip,op_min_op,surg_ip,surg_op,nat_births,c_sections,gr_pt_rev,ded_fr_rev,tot_cap_rev,net_pt_rev,oth_op_rev,tot_op_exp,net_frm_op,nonop_rev,nonop_exp,inc_tax,ext_item,net_income,gr_rev_dly,gr_rev_amb,gr_rev_anc,gr_ip_mcar_tr,gr_ip_mcar_mc,gr_ip_mcal_tr,gr_ip_mcal_mc,gr_ip_cnty,gr_ip_thrd_tr,gr_ip_thrd_mc,gr_ip_oth_ind,gr_ip_oth,gr_ip_tot,gr_op_mcar_tr,gr_op_mcar_mc,gr_op_mcal_tr,gr_op_mcal_mc,gr_op_cnty,gr_op_thrd_tr,gr_op_thrd_mc,gr_op_oth_ind,gr_op_oth,gr_op_tot,c_adj_mcar_tr,c_adj_mcar_mc,c_adj_mcal_tr,c_adj_mcal_mc,disp_855,c_adj_cnty,c_adj_thrd_tr,c_adj_thrd_mc,bad_debt,char_hb,char_oth,sub_indgnt,ded_oth,cap_rev_mcar,cap_rev_mcal,cap_rev_cnty,cap_rev_thrd,netrv_mcar_tr,netrv_mcar_mc,netrv_mcal_tr,netrv_mcal_mc,netrv_cnty,netrv_thrd_tr,netrv_thrd_mc,netrv_oth_ind,netrv_oth,disp_trnfr,inter_tfr,contribtns,inc_invest,dist_rev,cnty_appro,exp_dly,exp_amb,exp_anc,exp_pip,exp_pop,exp_res,exp_ed,exp_gen,exp_fisc,exp_adm,exp_unassg,exp_sal,exp_ben,exp_phys,exp_othpro,exp_supp,exp_purch,exp_depre,exp_leases,exp_insur,exp_intrst,exp_oth,cur_asst,asst_limtd,net_ppe,const_prog,inv_oth,intan_asst,tot_asst,cur_liab,def_cred,net_ltdebt,equity,liab_eq,cash,accts_rec,allow_uncoll,bldgs,equipment,tot_ppe,acc_depre,mort_pay,cap_lease,bond_pay,tot_ltdebt,cur_mat,inter_rec,inter_pay,hosp_fte,nurs_fte,prod_hrs,non_prd_hr,paid_hrs,med_staff,stdnt_fte,prd_hr_mgt,prd_hr_tch,prd_hr_rn,prd_hr_lvn,prd_hr_aid,prd_hr_clr,prd_hr_env,prd_hr_oth,cnt_hr_rn,cnt_hr_oth,prd_hr_dly,prd_hr_amb,prd_hr_anc,prd_hr_ed,prd_hr_gen,prd_hr_fis,prd_hr_adm,prd_hr_non,pd_hr_dly,pd_hr_amb,pd_hr_anc,pd_hr_ed,pd_hr_gen,pd_hr_fis,pd_hr_adm,pd_hr_no,year
106431013,agnews state hospital,7/1/2005,6/30/2006,365,audited,incl. ind. audit,santa clara,07,0431,state,specialty,state,,(408)451-6000,3500 zanker road,san jose,95114,angela c. vrbanac-libby,executive director,,state of california,gale nagato,dds-fiscal systems section,0,,,,919,919,350,505,0,107404,0,0,70,0,0,1477,109456,0,0,56,0,0,0,0,0,0,56,24,0,0,0,895,0,1138,0,0,0,108318,0,1,0,0,0,55,0,32.6,32.6,1954.6,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97739202,4366404,0,93372798,0,97739202,-4366404,4366404,0,0,0,0,88990306,0,8748896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52577,0,40788,0,0,0,117,0,0,0,0,0,4272922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
106010846,alameda county medical center,7/1/2005,6/30/2006,365,audited,excl. ind. audit,alameda,05,0417,city/county,general,comparable,teaching,(510)534-8055,1411 east 31st street,oakland,94602-1018,wright lassiter  iii,ceo,www.acmedctr.org,alameda county,stan quan,toyon associates  inc.,2,05-0320,hsc00320g,zzr00320f,475,475,315,20644,121,57304,4740,9555,1950,0,6582,10879,111775,1877,50,4949,1148,2285,394,0,783,2429,13915,236,80,0,50,109,0,43008,23637,0,8002,37128,0,10393,3136,0,320,66,0,64.5,64.5,8,5.4,20,3044,1399,57040,719,91259,23366,118704,14337,0,18179,9108,332712,86460,136484,0,122611,333,7,396304,172398,2157,1789,1279,380,597904483,270340145,0,327564338,9094554,370443609,-33784717,90656977,382520,0,0,56489740,301710194,95266171,200928118,56348124,1652394,232680549,27088645,59191334,20434222,0,25645041,21566778,444607087,20749737,337276,39626813,9800863,59860148,7131912,0,10464337,5326310,153297396,38363897,686543,186402635,28575043,-104649584,52754631,11274518,0,8502634,0,36109378,0,12320450,0,0,0,0,38462631,1303127,190554311,8314465,66296851,15865101,0,0,6767852,33705749,0,0,2136777,0,88481254,80639534,54963264,58683502,3068669,0,0,28740572,63914503,17959194,42724366,19750005,145646222,66948941,29826159,34647666,28153034,27549717,14235470,2509639,4303109,7932563,8691089,108406442,0,193486812,1139086,0,0,303032340,256831656,0,9076798,37123886,303032340,21923120,156120440,-125888689,226556047,90892044,323329684,129842872,9774006,520533,0,10294539,1217741,6194500,166805713,2136,570,4270556,712759,4983315,452,98,258220,892614,754199,170348,260227,669124,323755,401960,513443,26666,1283667,772587,533690,274370,737814,274166,394262,0,1441471,900952,664560,286973,877071,340137,472151,0,2006
106010735,alameda hospital,7/1/2005,6/30/2006,365,audited,excl. ind. audit,alameda,05,0417,district,general,comparable,,(510)522-3700,2070 clinton avenue,alameda,94501-4320,kerry easthhope,associate administrator,www.alamedahospital.org,city of alameda healthcare district,john r smith,pacific hospital management,0,05-0211,hsc00211f,zzr00211f,135,135,135,9140,1510,7426,535,0,457,3068,63,516,22715,1762,346,280,130,0,104,549,16,123,3310,100,0,0,0,35,0,13124,0,0,0,9591,0,3189,0,0,0,121,0,46.1,46.1,6.9,4.1,0,0,0,14105,6144,2913,4079,0,7780,21076,1753,3901,61751,21909,0,0,40918,0,16,179855,227878,1060,5042,0,0,254315108,201548293,0,52766815,183990,58522697,-5571892,6229719,0,0,0,657827,69867815,14813714,169633579,63945704,16344372,27490966,4189889,0,4707434,33827183,522788,4310732,155339068,19104825,2958595,2920336,4124741,0,6715147,57752506,583468,4816422,98976040,58772417,14039325,26838061,7322754,0,0,9627098,75732544,714183,0,1106256,0,7395655,0,0,0,0,24277236,5263642,3281197,989539,0,1795483,15847145,0,1312573,0,0,0,0,5693998,0,14201693,2746507,18441422,0,0,0,0,9000848,2684128,9457328,1990771,29919144,8405199,1353948,3553302,6152731,3194815,1721300,495370,675973,249680,2801235,10984131,3727259,9851186,145088,0,0,24707664,9585119,0,1422720,13699825,24707664,1407299,37483775,-31080095,19222756,6049445,26429250,16578064,0,1422720,0,1422720,0,0,0,434,135,768056,163440,931496,267,0,78845,185343,186836,18006,75179,124120,69969,0,27484,2274,221132,37895,203210,0,150983,63639,91197,0,270444,47461,252445,0,177325,73273,110548,0,2006
106190017,alhambra hospital - alhambra,7/1/2005,6/30/2006,365,audited,excl. ind. audit,los angeles,11,0913,investor,general,comparable,,(626)570-1606,100 south raymond avenue,alhambra,91802,david chu,ceo,,alhambra limited partnership,robert c. perkins,hospital management services,0,05-0281,hsc30281f,,144,144,144,18878,1534,15015,511,0,138,1287,174,939,38476,2502,293,988,98,0,209,83,46,103,4322,101,0,0,17,26,0,25376,0,0,3903,9197,0,4076,0,0,238,8,0,73.2,73.2,8.9,6.8,0,0,0,3924,976,2421,2790,0,1185,8463,116,2516,22391,17055,0,0,6551,0,5,36962,60432,652,1558,0,0,156414339,103000295,2112647,55526691,1241427,56826900,-58782,76267,563830,0,0,-546345,48493060,4551049,103370230,60954250,7370393,46664845,2302524,0,589758,5889417,36356,2811604,126619147,10813801,2545270,3799309,2123590,0,1236324,6793365,61909,2421624,29795192,42366420,5441065,36856225,3496191,-1887682,0,148735,9025476,4649055,0,64724,0,2840086,1590788,420226,0,101633,27638515,3675453,15495729,1350149,0,1561196,946498,1,4859150,0,0,0,76267,0,0,16440927,2698167,15504571,0,0,0,0,8561485,1923775,8215504,3482471,23252999,6833767,713660,4939143,7684046,6646422,1307868,2964015,709123,28686,1747171,12316138,0,0,0,12002584,725032,25043754,15505427,0,0,9538327,25043754,3419117,20546756,-16571000,0,0,0,0,0,0,0,0,0,0,0,480,191,951263,89194,1040457,185,0,32003,228362,228755,59772,108710,207126,43803,0,28159,14573,409606,33779,196075,0,137694,61731,110089,2289,452919,36195,212586,0,147445,67615,121408,2289,2006
106010739,alta bates summit med ctr-alta bates campus,1/1/2006,12/31/2006,365,audited,incl. ind. audit,alameda,05,0415,non-profit,general,comparable,,(510)204-4444,2450 ashby avenue,berkeley,94705,robert petrina,cfo,www.altabates.com,sutter health,bharatha naotunne,sutter health,0,05-0305,hsc00305f,zzr00305f,559,512,407,33995,5864,52588,8651,0,37467,4674,663,1531,145433,4772,1071,3587,1119,0,7122,1096,156,327,19250,353,105,0,42,59,0,92757,25802,0,10535,16339,0,15440,3107,0,640,63,0,71.3,77.8,7.6,6.7,35,15521,6996,49143,12410,16589,7837,0,143537,13638,1481,7237,251872,40926,24056,0,96422,0,13,491208,1271096,3261,5031,5532,2152,1845864999,1368535492,72396693,549726200,10351633,501235793,58842040,7920990,3855155,0,0,62907875,689358966,68876430,1087629603,334904383,72613643,456232144,97974838,0,375285553,61059428,9525331,18199113,1425794433,109897439,28128042,36183590,19283971,0,187485692,25045477,2318352,11728003,420070566,332876154,95821941,419815783,100118683,0,0,302709205,86104904,19245139,0,11843683,0,0,39948779,0,0,32447914,111567409,44868523,72599951,17140126,0,260062040,32447915,0,11040236,0,0,1458360,3642904,0,0,121705718,15669174,188502902,0,0,207130,0,63077952,10081868,85117848,16873201,170011346,93722579,15503150,21500950,45224401,118593572,16773378,833623,3088468,4588629,11395697,114986036,945273,111520666,20217816,14061702,3156124,264887617,39812027,6486531,110568307,108020752,264887617,23685171,301664522,-227062041,201333545,143039397,359685866,248165200,0,201005,113251762,113452767,2884460,1896163,0,2118,724,3922789,794197,4716986,534,0,216854,906424,1187878,140242,177614,628102,348519,5241,231785,80130,1519918,162987,1021656,12723,695960,140361,369184,0,1887596,194413,1207064,14405,817222,164409,431877,0,2006
106010937,alta bates summit med ctr-summit-hawthorne,1/1/2006,12/31/2006,365,audited,excl. ind. audit,alameda,05,0417,non-profit,general,comparable,,(510)655-4000,350 hawthorne avenue,oakland,94609-3108,warren kirk,ceo,,sutter health,daniel foushee,toyon associates  inc.,0,05-0043,hsc00043f,,387,387,239,38229,9159,14052,2334,0,547,19248,1980,127,85676,6498,1496,2110,509,0,132,4866,424,39,16074,339,0,0,0,48,0,74542,0,0,0,11134,0,15136,0,0,0,938,0,60.7,60.7,5.3,4.9,0,0,0,38011,4527,13392,9421,0,2729,34307,2052,5090,109529,38500,11771,0,45159,0,37,967465,1063515,4439,8238,0,0,1487026712,1155235165,0,331791547,36629330,358678021,9742856,9174183,2850130,0,0,16066909,378872429,59575804,1048578479,433164867,102464053,151965199,31683437,0,10604604,414683689,26561112,652921,1171779882,93739357,18444982,29296593,25448664,0,9008725,127819420,3583253,7905836,315246830,346223582,79448138,161972271,51052218,0,0,16581786,458650886,7367070,0,30144365,0,3794849,0,0,0,0,180680642,41460897,19289521,6079883,0,428381,83852223,0,0,0,0,2919491,2132366,0,0,85864037,20028077,118097947,0,0,0,31465209,48784635,10114085,27572475,16751556,121224770,76747744,6287654,22771862,61491657,31062381,17282982,2068604,2182593,4000972,13556802,107793235,34728495,131537802,8360193,7104499,0,289524224,75260154,0,84607372,129656698,289524224,27003412,278045338,-218771159,310473914,109241547,441207781,309669979,0,0,90069579,90069579,5462207,2777471,0,1761,548,3381301,608779,3990080,534,1,211378,630077,877554,52424,210440,612938,413345,46080,301914,25151,1102585,219287,810963,244234,630921,164832,208479,0,1304115,249068,933315,334497,732250,189501,247334,0,2006
106370652,alvarado hospital,1/1/2006,12/31/2006,365,audited,excl. ind. audit,san diego,14,1418,investor,general,comparable,,(619)287-3270,6655 alvarado road,san diego,92120,harris f. koenig,ceo,www.alvaradohospital.com,tenet healthcare corporation,derek to,tenet healthcare corporation,0,05-0583,hsc30583h,hsp40583h,305,285,285,30507,1577,7824,487,1341,1326,10714,580,441,54797,4134,356,1094,116,192,200,1865,89,131,8177,225,0,0,50,30,0,41285,0,0,6006,7506,0,7059,0,0,484,634,0,49.2,52.7,6.7,6.3,0,0,0,18868,860,4334,2104,767,1328,12783,131,6615,47790,21697,2842,0,24342,0,8,351960,158760,2320,3561,0,0,684031599,566665921,7525600,124891278,1856731,136275918,-9527909,1347387,948479,0,0,-9129001,122837958,28862948,532330693,285861538,19497028,77982095,4886160,12042493,13293322,108908487,4801547,6350247,533622917,51035227,4374939,11796159,3646846,2152865,7230356,49614715,396242,20161333,150408682,287505350,23243918,83574652,7588575,0,12854694,15998291,106695271,6318659,0,5447166,0,17439345,3835833,0,0,3689767,49391415,4463882,5841987,944431,1340664,4416009,54672869,112238,3707783,0,0,0,0,0,0,27457797,7882698,46515372,0,0,0,0,17300526,8855090,22033187,6231248,48950634,16854661,452915,7215585,25154430,23750192,6329541,2135388,778537,29,4654006,22404972,0,40089144,570057,126944133,676757,190685063,19675659,138649,0,170870755,190685063,113419,46393736,-27352316,50153092,46890640,101265440,61176296,0,0,0,0,0,124009784,9673868,792,285,1499940,229754,1729694,421,0,113099,401695,442527,45436,104753,290531,18629,0,81198,2072,541532,130581,449753,0,147664,65828,164582,0,632423,147614,521561,0,169441,73718,184937,0,2006
106370749,alvarado parkway institute bhs,1/1/2006,12/31/2006,365,audited,incl. ind. audit,san diego,14,1422,investor,psychiatric,comparable,,(619)465-4411,7050 parkway drive,la mesa,91941-1535,roy rodriguez,ceo,www.alvaradoparkwayinstitute.com,helix healthcare,l. masi,pacific hospital management,0,05-4075,,hsp34075g,66,66,66,15525,315,213,0,0,989,3945,0,467,21454,1658,34,25,0,0,108,437,0,60,2322,0,66,0,0,0,0,0,21454,0,0,0,0,0,2322,0,0,0,0,89.09999999999999,89.09999999999999,9.199999999999999,9.199999999999999,0,0,0,46357,47,4,0,0,655,3610,0,554,51227,0,0,0,0,0,0,0,0,0,0,0,0,41112991,21764575,0,19348416,91869,19430630,9655,132844,125650,0,0,16849,21335345,16813128,2964518,17834369,351912,221531,0,0,1083677,4209939,0,499313,24200741,15232815,15426,1319,0,0,220374,1255010,0,187306,16912250,14935678,165919,195310,0,0,0,811141,3399292,2054503,0,202732,0,0,0,0,0,0,16479069,183062,16404,0,0,427743,1792561,0,449577,0,0,0,0,0,0,4699494,3509377,733444,0,0,0,0,3851049,1404975,3114324,2117967,9856520,1976742,0,353888,1316219,1581944,209989,2131306,184116,116831,1703075,4883462,0,1228972,0,0,977708,7090142,6562510,0,0,527632,7090142,0,6619921,-2974792,1457904,883194,2341098,1112126,0,0,0,0,0,0,1741981,227,91,472179,3953,476132,82,0,26777,130737,56398,34118,99792,62297,58642,0,3418,0,183456,105875,0,0,96146,43376,43326,0,184064,107314,0,0,96853,44057,43844,0,2006
106194010,american recovery center,7/1/2005,6/30/2006,365,audited,excl. ind. audit,los angeles,11,0917,non-profit,specialty,comparable,,(909)865-2336,2180 w. valley blvd.,pomona,91768-3325,booker bledsoe,administrator,,behavioral health services  inc,andrew e. worrell,behavioral health services,0,,,,156,156,156,0,0,0,0,32387,0,0,101,0,32488,0,0,0,0,1655,0,0,18,0,1673,0,0,156,0,0,0,0,0,32488,0,0,0,0,0,1673,0,0,0,57.1,57.1,19.4,19.4,0,0,0,0,0,0,0,5340,0,0,0,0,5340,0,0,0,0,0,0,0,0,0,0,0,0,5690046,77821,0,5612225,54298,5692737,-26214,0,0,0,0,-26214,5333171,356875,0,0,0,0,0,5305060,0,0,28111,0,5333171,0,0,0,0,356875,0,0,0,0,356875,0,0,0,0,0,77821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5584114,0,0,28111,0,0,0,0,0,0,0,2105496,267689,0,0,0,0,0,1461972,237593,1143448,476539,2366770,787626,0,328029,478080,1003948,77346,31186,42569,243078,334105,3017371,0,2724901,0,363824,0,6106096,4850424,0,0,1255672,6106096,988906,420770,0,2733553,303941,4124237,1399336,0,0,0,0,0,831751,0,77,14,144066,18930,162996,0,0,19145,4335,9221,20440,0,23862,22367,42616,0,2080,75127,12527,0,0,33655,12805,9952,0,84215,14269,0,0,38478,14629,11405,0,2006
106301097,anaheim general hospital,9/1/2005,8/31/2006,365,audited,excl. ind. audit,orange,13,1012,investor,general,comparable,,(714)827-8700,3350 west ball road,anaheim,92804-3710,joshua luke,ceo,,pacific health corporation,thomas butler,pacific health corporation,0,05-0173,hsc30173h,hsp30173h,143,143,126,11659,360,3132,7684,235,295,428,30,863,24686,1748,61,523,256,51,72,100,12,198,3021,101,21,0,0,21,0,11687,5266,0,0,7733,0,2532,464,0,0,25,0,47.3,47.3,8.199999999999999,5.7,14,800,370,5801,326,1058,3662,260,838,1103,75,2765,15888,11915,68,0,0,1268,3,21436,24161,406,794,233,135,179155058,149683243,1003697,30475512,72656,35242400,-4694232,-723415,1094672,0,0,-6512319,53697816,10186881,115270361,69005766,3385332,19223232,42093378,1114368,2029215,2953020,231348,5838169,145873828,10567559,809791,4029660,4336970,1482270,3712543,4194246,736512,3411679,33281230,62947756,3520962,19861991,40772773,-383676,2425060,4184721,5573867,0,0,10091369,0,688420,0,1003697,0,0,16625569,672761,3774577,3943052,171578,1505033,1307858,242394,2232690,0,0,0,-1243457,0,0,11571294,2006233,9408497,359536,269060,0,0,4386150,1594855,4280967,1365808,18102093,4374400,198500,471060,4206405,3594612,420415,1535291,425944,536966,1376714,6860301,0,2050047,1453449,151393,0,10515190,40798342,0,4182964,-34466116,10515190,0,38549224,-33646971,9428467,13774164,23612487,21562440,0,0,0,4182964,0,0,28944656,363,141,675994,80258,756252,270,0,45283,107886,161024,54790,77514,119539,68284,40806,868,0,258162,50359,128767,0,133459,50986,54261,0,294045,54846,145051,0,146516,55587,60207,0,2006
