fac_no,fac_name,beg_date,end_date,day_per,data_ind,audit_ind,county,hsa,hfpa,type_cntrl,type_care,type_hosp,teach_rurl,phone,address,city,zip_code,ceo,ceo_title,web_site,owner,rpt_prep,org_name,er_desig,mcar_pro,mcal_pro,reg_mcal,bed_lic,bed_avl,bed_stf,day_mcar_tr,day_mcar_mc,day_mcal_tr,day_mcal_mc,day_cnty,day_thrd_tr,day_thrd_mc,day_oth_ind,day_oth,day_tot,dis_mcar_tr,dis_mcar_mc,dis_mcal_tr,dis_mcal_mc,dis_cnty,dis_thrd_tr,dis_thrd_mc,dis_oth_ind,dis_oth,dis_tot,bed_acute,bed_psych,bed_chem,bed_rehab,bed_ltc,bed_resdnt,day_acute,day_psych,day_chem,day_rehab,day_ltc,day_resdnt,dis_acute,dis_psych,dis_chem,dis_rehab,dis_ltc,dis_resdnt,occ_lic,occ_avl,alos_all,alos_exltc,bas_nursry,day_nursry,dis_nursry,vis_mcar_tr,vis_mcar_mc,vis_mcal_tr,vis_mcal_mc,vis_cnty,vis_thrd_tr,vis_thrd_mc,vis_oth_ind,vis_oth,vis_tot,vis_er,vis_clin,vis_home,vis_ref_op,days_pips,op_room,op_min_ip,op_min_op,surg_ip,surg_op,nat_births,c_sections,gr_pt_rev,ded_fr_rev,tot_cap_rev,net_pt_rev,oth_op_rev,tot_op_exp,net_frm_op,nonop_rev,nonop_exp,inc_tax,ext_item,net_income,gr_rev_dly,gr_rev_amb,gr_rev_anc,gr_ip_mcar_tr,gr_ip_mcar_mc,gr_ip_mcal_tr,gr_ip_mcal_mc,gr_ip_cnty,gr_ip_thrd_tr,gr_ip_thrd_mc,gr_ip_oth_ind,gr_ip_oth,gr_ip_tot,gr_op_mcar_tr,gr_op_mcar_mc,gr_op_mcal_tr,gr_op_mcal_mc,gr_op_cnty,gr_op_thrd_tr,gr_op_thrd_mc,gr_op_oth_ind,gr_op_oth,gr_op_tot,c_adj_mcar_tr,c_adj_mcar_mc,c_adj_mcal_tr,c_adj_mcal_mc,disp_855,c_adj_cnty,c_adj_thrd_tr,c_adj_thrd_mc,bad_debt,char_hb,char_oth,sub_indgnt,ded_oth,cap_rev_mcar,cap_rev_mcal,cap_rev_cnty,cap_rev_thrd,netrv_mcar_tr,netrv_mcar_mc,netrv_mcal_tr,netrv_mcal_mc,netrv_cnty,netrv_thrd_tr,netrv_thrd_mc,netrv_oth_ind,netrv_oth,disp_trnfr,inter_tfr,contribtns,inc_invest,dist_rev,cnty_appro,exp_dly,exp_amb,exp_anc,exp_pip,exp_pop,exp_res,exp_ed,exp_gen,exp_fisc,exp_adm,exp_unassg,exp_sal,exp_ben,exp_phys,exp_othpro,exp_supp,exp_purch,exp_depre,exp_leases,exp_insur,exp_intrst,exp_oth,cur_asst,asst_limtd,net_ppe,const_prog,inv_oth,intan_asst,tot_asst,curr_liab,def_cred,net_ltdebt,equity,liab_eq,cash,accts_rec,allow_uncoll,bldgs,equipment,tot_ppe,acc_depre,mort_pay,cap_lease,bond_pay,tot_ltdebt,cur_mat,inter_rec,inter_pay,hosp_fte,nurs_fte,prod_hrs,non_prd_hr,paid_hrs,med_staff,stdnt_fte,prd_hr_mgt,prd_hr_tch,prd_hr_rn,prd_hr_lvn,prd_hr_aid,prd_hr_clr,prd_hr_env,prd_hr_oth,cnt_hr_rn,cnt_hr_oth,prd_hr_dly,prd_hr_amb,prd_hr_anc,prd_hr_ed,prd_hr_gen,prd_hr_fis,prd_hr_adm,prd_hr_non,pd_hr_dly,pd_hr_amb,pd_hr_anc,pd_hr_ed,pd_hr_gen,pd_hr_fis,pd_hr_adm,pd_hr_non,year
106431013,agnews state hospital,01jul2008,30jun2009,365,audited,incl. ind. audit adj.,santa clara,7,431,state,psychiatric,state,,(408) 451-6000,3500 zanker road,san jose,95134-2299,angela c. verbanac-libby,administrator,,state of california,gale nagato,dds fiscal systems section,0,,,,919,919,304,124,0,21972,0,0,120,0,0,1025,23241,0,0,121,0,0,0,0,0,4,125,24,0,0,0,895,0,149,0,0,0,23092,0,1,0,0,0,124,0,6.9,6.9,185.9,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46591128,2418315,0,44172813,0,46591128,-2418315,2418315,0,0,0,0,37507991,0,9083137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,370837,0,0,0,0,0,0,0,0,0,2047460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
106301098,ahmc anaheim regional medical center,01jul2008,30jun2009,365,audited,incl. ind. audit adj.,orange,13,1012,investor,general,comparable,,(714) 774-1450,111 west la palma avenue,anaheim,92801-2881,byron schweigert,ceo,,ahmc,donna j. anglin,memorial health services,0,05-0226,hsc30226f,zzt30226f,223,223,154,15797,11912,1894,5603,2031,587,11692,227,3212,52955,3102,2986,378,1311,389,412,3460,57,772,12867,223,0,0,0,0,0,52955,0,0,0,0,0,12867,0,0,0,0,0,65.09999999999999,65.09999999999999,4.1,4.1,10,2954,1604,10717,8360,4452,11405,2972,746,27431,341,6962,73386,43651,1216,0,33723,5321,6,221214,141674,2543,3343,1371,370,832536131,669984912,13948476,176499695,554307,180254549,-3200547,2469628,410758,0,0,-1141677,141547651,48290411,642698069,170549111,147184216,16741268,55643490,26949534,17157835,129915690,2339467,23509586,589990197,40809023,39885407,8733742,30003719,11682216,2372371,90826617,713165,17519674,242545934,165717554,166830018,22244374,72229483,0,36169064,15653905,152442431,27710267,0,4322827,-127313,6792302,13948476,0,0,0,44942552,34188081,2385401,12014192,2462686,3876301,68299876,90887,8239719,0,-10309222,248953,125027,0,0,39231267,7981725,70518249,4308268,2224618,0,0,25687635,4394454,24057309,1851024,59968670,19203427,2063418,14246420,35902795,37100652,6374187,2613504,-1014247,0,3795723,105326052,0,30824672,0,2624,0,136153348,115201559,19122417,0,1829372,136153348,50511,153588137,-127902650,78250748,47207771,131736012,100911340,0,0,0,0,0,72295580,34506721,942,372,2021852,171602,2193454,211,0,101403,265323,566678,10859,30443,444671,0,368446,165943,68086,748722,131023,648800,0,160406,130432,202469,0,808700,139249,709618,0,175839,141679,218369,0,2009
106010846,alameda county medical center,01jul2008,30jun2009,365,audited,incl. ind. audit adj.,alameda,5,417,city/county,general,comparable,teaching,(510) 437-4800,1411 east 31st street,oakland,94602,"wright lassiter, iii",ceo,acmedctr.org,county of alameda,stanley quan,"toyon associates, inc.",2,05-0320,hsc00320w,zzr00320w,475,475,325,13902,569,71725,6242,9921,3672,0,5310,4342,115683,2077,87,6363,1269,2021,513,0,671,618,13619,236,80,0,50,109,0,41918,23867,0,10877,39021,0,9876,3105,0,489,149,0,66.7,66.7,8.5,5.7,20,2274,1026,42045,1562,124309,33167,124968,17697,0,8457,39806,392011,93313,152330,0,161755,405,7,253251,166783,2322,1917,1153,294,858156875,445083864,0,413073011,99188990,459963206,52298795,6863055,237236,0,0,58924614,362513632,162157682,333485561,79614719,5551698,287625697,42117564,81536176,31524118,0,26509282,22048007,576527261,34108838,1223488,80045082,21765841,91369911,14873321,0,6564972,31678161,281629614,63103450,4446810,267785591,49885797,-141003386,107543687,7302883,0,34088141,0,33074254,0,18856637,0,0,0,0,50298694,2328376,240888574,13997608,65362400,39094556,0,0,1102803,41905860,-3825143,0,1135849,0,5653883,101971843,60598460,89476854,4232462,0,0,29153823,77888054,20590278,63379729,12671703,180363579,110791687,45008440,17007253,41236122,34472509,11225155,2456741,3665516,4916866,8819338,148712859,0,34197854,4883144,0,0,187793857,278120059,0,6480676,-96806878,187793857,25612179,216261771,-175334505,36041002,61794587,101558331,67360477,7261018,0,0,7261018,780342,9626310,153459609,2352,815,4489830,750478,5240308,513,131,306179,949532,991421,126386,289841,718014,383844,376373,287898,60342,1228755,801345,612747,299641,779669,321293,446380,0,1432023,932436,720751,321832,919808,381728,531730,0,2009
106010735,alameda hospital,01jul2008,30jun2009,365,audited,incl. ind. audit adj.,alameda,5,417,district,general,comparable,,(510) 522-3700,2070 clinton avenue,alameda,94501-4397,deborah e. stebbins,ceo,alamedahospital.org,city of alameda healthcare district,carlos jimenez,pacific hospital management,0,05-0211,hsc00211f,zzr00211f,161,161,161,9702,1579,12018,332,0,391,3633,171,2636,30462,1590,236,306,81,0,64,417,13,250,2957,100,0,0,0,61,0,11786,0,0,0,18676,0,2811,0,0,0,146,0,51.8,51.8,10.3,4.2,0,0,0,10158,1597,2280,3092,0,3458,24933,264,2590,48372,17337,525,0,29948,0,1,115690,255860,690,5195,0,0,282813469,219753983,0,63059486,192252,68807234,-5555496,6285803,0,0,0,730307,79641742,27450300,175721427,67100106,9944965,33134522,3515073,0,3919347,34046584,683465,6676877,159020939,23642274,3561348,4627122,5856624,0,5696457,75279000,476327,4653378,123792530,69264197,10309890,27458108,6809544,0,0,7256589,87529236,7647176,0,1159796,0,2319447,0,0,0,0,21478183,3196423,10303536,2562153,0,2359215,21796348,-4,1363632,0,0,0,48085,5764021,0,17751667,4593072,23618361,0,0,0,0,10245179,2971165,8484667,1143123,35025780,10150833,2157488,3950848,8173156,4143430,1428205,665277,394843,152822,2564552,20683029,468209,6704167,533294,0,0,28388699,17993828,0,1722417,8672454,28388699,2034709,45456036,-35386500,23657283,18449576,43483813,36779646,0,2170365,0,2170365,447948,0,0,440,159,780965,173462,954427,267,0,63558,163706,180034,22323,97205,134039,80229,0,31481,8390,260972,46532,196650,0,145124,53108,78579,0,311677,60349,251334,0,170582,61757,98728,0,2009
106190017,alhambra hospital,01jul2008,30jun2009,365,audited,incl. ind. audit adj.,los angeles,11,913,investor,general,comparable,,(626) 570-1606,100 south raymond avenue,alhambra,91802,iris lai,ceo,alhambrahospital.com,alhambra hospital medical center lp,linda marsh,ahmc inc.,0,05-0281,hsc30281f,,144,144,144,16397,1768,9716,594,0,100,1666,922,349,31512,2206,449,635,204,0,11,371,52,105,4033,101,0,0,17,26,0,18932,0,0,3380,9200,0,3814,0,0,194,25,0,60,60,7.8,5.6,0,0,0,4525,1497,1597,2250,0,808,3216,774,2918,17585,17329,0,0,5048,0,5,51098,99853,419,1563,0,0,240591569,185422017,4640449,59810001,1142186,58709590,2242597,159283,0,0,0,2401880,66665107,9989869,163936593,104462868,14220288,49201189,4466476,0,1025318,12379725,1941842,1580320,189278026,19765493,4858781,6693619,4252131,0,1589813,9614276,701083,3838347,51313543,90377526,15940426,45740203,7353750,-1352769,0,151370,15110339,4809891,0,2642925,0,4648356,4640449,0,0,0,30046475,7204412,10844448,1270412,0,2435432,6645410,0,1363412,0,3786309,0,58075,0,73480,16679804,2460507,18085876,0,0,0,0,8297340,2345008,6750917,4090138,24136509,8491414,833000,3333468,7816580,7908298,0,3516446,418864,0,2255011,18528470,0,0,0,18293041,725032,37546543,15839086,0,0,21707457,37546543,5111022,49216738,-39996186,0,0,0,0,0,0,0,0,0,0,0,449,201,868170,85291,953461,194,0,58243,167020,233018,59951,106417,188444,35976,0,19101,0,394936,35124,162935,0,127591,74862,72722,0,431456,36834,178224,0,138938,81600,86409,0,2009
106010739,alta bates summit med ctr-alta bates campus,01jan2009,31dec2009,365,audited,incl. ind. audit adj.,alameda,5,415,non-profit,general,comparable,,(510) 204-4444,2450 ashby avenue,berkeley,94705,robert petrina,cfo,altabatessummit.org,sutter health,bharatha naotunne,alta bates summit medical center,0,05-0305,hsc00305f,zzr00305f,527,510,384,29645,8187,41018,9349,0,642,36819,962,2185,128807,4805,1377,5297,2650,0,126,7419,194,589,22457,347,105,0,42,33,0,87791,20228,0,11530,9258,0,18888,2771,0,759,39,0,67,69.2,5.7,5.3,35,14856,6804,70213,15406,15590,10115,0,6249,214224,1951,10179,343927,43793,31564,0,112510,0,13,415740,305760,3416,4287,5625,2112,2107269486,1531844510,0,575424976,8017165,525894295,57547846,13809800,4366068,0,0,66991578,777637934,96353211,1233278341,403780992,119936053,432908162,130875780,0,8442701,459310931,17678371,31786942,1604719932,135800155,38996751,38101475,27209171,0,6256537,233829010,3647855,18708600,502549554,424800179,127515665,393574078,136297554,0,0,7711547,382305955,17214265,0,21326225,0,21099042,0,0,0,0,114780968,31417139,77435559,21787397,0,6987691,310833986,1,12182235,0,0,2417297,8509756,0,0,129595379,20107704,210657545,0,0,136395,0,66711254,7261745,69059023,22365250,193746017,97812008,17883658,11779773,50027245,113395456,18288662,1546900,5550739,4351820,11512017,134407824,0,111068875,61555738,20706388,1610102,329348927,52083859,5529308,101045142,170690618,329348927,21528662,323344254,-240890696,229934932,162561915,405821055,294752180,0,0,104815658,104815658,3770516,12947475,0,2150,811,3827166,779038,4606204,740,0,205117,902371,1322810,109242,161345,566100,365945,60051,94164,40021,1461261,198081,1016398,5761,670770,127888,347007,0,1819313,225384,1197113,6970,782664,149704,425056,0,2009
106010937,alta bates summit med ctr-summit campus-hawthorne,01jan2009,31dec2009,365,audited,incl. ind. audit adj.,alameda,5,417,non-profit,general,comparable,,(510) 655-4000,hawthorne ave & webster st,oakland,94609,warren kirk,ceo,altabatessummit.org,sutter health,daniel foushee,"toyon associates, inc.",0,05-0043,hsc00043f,,402,402,235,34912,10038,12527,2797,0,1168,16254,2009,332,80037,6455,1839,2477,586,0,219,3071,426,57,15130,354,0,0,0,48,0,70973,0,0,0,9064,0,14299,0,0,0,831,0,54.5,54.5,5.3,5,0,0,0,31260,8183,15241,11016,0,4330,38536,2593,6742,117901,39783,8827,0,70898,0,38,821105,479938,4349,5507,0,0,1943041693,1541059750,0,401981943,55092236,426244540,30829639,10128418,4486005,0,0,36472052,502372947,106383844,1334284902,548145713,153612777,192583134,50142682,0,24197542,453590170,32473907,5722833,1460468758,140200035,38535925,49281659,36681935,0,18260603,176971551,7523582,15117645,482572935,560008961,159770163,207811979,74600339,0,0,30629659,454892500,7442831,0,37011229,0,8892089,0,0,0,0,128336787,32378539,34052814,12224278,0,11828486,175669221,2986260,4505558,0,-13992999,3589200,1942707,0,0,96331681,24719098,139708892,0,0,0,44249240,53666921,10253912,38610250,18704546,151520292,89097264,9329803,18194632,73089063,38261694,19844020,3240722,3140537,4293077,16233436,136638422,0,131979370,438886,18493440,0,287550118,85940112,0,70298589,131311417,287550118,39582000,312845533,-246184270,343999117,122939435,488755193,356775823,0,0,72070614,72070614,1772025,0,234613,1832,634,3462421,570375,4032796,527,0,221276,659469,931276,26788,230554,702592,385821,81624,129075,93946,1049595,250936,782211,353193,570964,168209,250933,36380,1246832,286277,917479,388832,664055,195691,292663,40967,2009
106370652,alvarado hospital,01jan2009,31dec2009,365,audited,incl. ind. audit adj.,san diego,14,1418,investor,general,comparable,,(619) 287-3270,6655 alvarado road,san diego,92120,harris f. koenig,ceo,alvaradohospital.com,"plymouth health, llc",brian d. kleven,"alvarado hospital, llc",0,05-0757,hsc30583i,hsp30583i,306,306,123,18339,2203,5916,622,278,0,13378,31,3497,44264,3939,581,1166,201,85,0,2518,28,796,9314,256,0,0,50,0,0,39358,0,0,4906,0,0,8935,0,0,379,0,0,39.6,39.6,4.8,4.8,0,0,0,18162,1510,4531,2805,765,0,11519,14,10396,49702,26307,2258,0,23120,0,13,719495,528614,2676,2897,0,0,762925516,604263970,557867,159219413,2717839,162505892,-568640,42327,0,0,0,-526313,110723649,42671529,609530338,273920729,35487233,74641752,8561333,14315563,0,146291049,1266322,33256040,587740021,58727236,7008734,10535665,6329546,3230772,0,50472430,30177,38850935,175185495,274657049,35282826,75923176,13504657,0,14838590,0,124202569,17231605,0,1296499,0,47326999,418821,0,0,139046,57990916,7631962,9254241,1386222,2707745,0,72699956,0,7548371,0,0,0,42327,0,0,29688118,9017802,62013518,0,0,362041,0,18725664,4198222,22759480,15741047,58690427,17979230,1599841,14222881,37034785,8591051,1574944,16034089,1596738,10162,5171744,31763576,0,6877941,288309,1181142,3059863,43170831,21404035,753749,22622707,-1609660,43170831,66395,63749753,-38433746,528649,8576062,9380588,2502647,0,0,0,22622707,0,0,22622707,840,367,1623622,211700,1835322,315,0,113485,476078,560120,6476,109374,227796,0,41192,86480,2621,556524,118757,498585,0,172121,102957,174678,0,637555,128237,563326,0,191183,113678,201343,0,2009
106370749,alvarado parkway institute bhs,01jan2009,31dec2009,365,audited,excl. ind. audit adj.,san diego,14,1422,investor,psychiatric,comparable,,(619) 465-4411,7050 parkway drive,la mesa,91942,patrick ziemer,ceo,alvaradoparkwayinstitute.com,helix healthcare,john randolph smith,pacific hospital management,0,05-4075,,hsp34075g,66,66,66,13773,303,154,0,0,1544,1873,0,3438,21085,1462,32,17,0,0,163,198,0,367,2239,0,66,0,0,0,0,0,21085,0,0,0,0,0,2239,0,0,0,0,87.5,87.5,9.4,9.4,0,0,0,64405,362,0,0,0,1746,6164,0,272,72949,0,0,0,0,0,0,0,0,0,0,0,0,50129171,26316814,0,23812357,155443,22728753,1239047,71097,283967,0,0,1026177,23028584,23749533,3351054,17297482,384253,188179,0,0,1849078,2250072,0,4146014,26115078,21680910,114376,0,0,0,547128,1595730,0,75949,24014093,21556730,18295,133235,0,0,0,522463,2708936,1187821,0,189334,0,0,0,0,0,0,17421662,480334,54944,0,0,1584783,361366,0,3909268,0,0,0,0,0,0,5610727,4497574,940914,0,0,0,0,4763751,1447718,3772346,1695723,12460058,2318639,780657,237969,1466187,2008539,327634,1586331,168900,241321,1132518,2977438,0,1362645,0,0,977709,5317792,5554818,0,0,-237026,5317792,8301,4922383,-2343477,1658462,1043249,3168469,1805824,0,0,0,0,0,0,1006501,271,102,562335,2273,564608,82,0,31500,181925,52862,35020,123434,60260,77334,0,0,0,211194,132858,0,0,127974,40121,50188,0,212002,133415,0,0,128375,40317,50499,0,2009
106194010,american recovery center,01jul2008,30jun2009,365,audited,excl. ind. audit adj.,los angeles,11,917,non-profit,specialty,comparable,,(909) 865-2336,2180 west valley blvd,pomona,91768,booker bledsoe,administrator,bhs-inc.org/arc.html,"behavioral health services, inc",andrew e. worrell,"behavioral health services, inc.",0,,,,156,156,156,0,0,0,0,30798,0,0,0,6813,37611,0,0,0,0,1592,0,0,0,95,1687,0,0,156,0,0,0,0,0,37611,0,0,0,0,0,1687,0,0,0,66.09999999999999,66.09999999999999,22.3,22.3,0,0,0,0,0,0,0,7497,0,0,0,0,7497,0,0,0,0,0,0,0,0,0,0,0,0,5874896,51602,0,5823294,49763,5841650,31407,0,0,0,0,31407,5639251,235645,0,0,0,0,0,4994778,0,0,0,644473,5639251,0,0,0,0,235645,0,0,0,0,235645,0,0,0,0,0,51602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5178821,0,0,0,644473,0,0,0,0,0,0,2135304,237962,0,0,0,0,0,1411958,319458,1231996,504972,2403395,812855,0,383958,518334,997107,118367,41139,40205,228369,297921,3875123,0,2533455,0,2076,0,6410654,4808224,0,0,1602430,6410654,1521691,453548,0,2741153,335199,4163095,1629640,0,0,0,0,0,1742041,0,45,11,80318,14898,95216,0,0,17472,3321,4433,17308,0,8826,4096,22782,2080,0,53549,3972,0,0,8055,8228,6514,0,63319,4465,0,0,9644,9916,7872,0,2009
